"AtlasAssayGroup"	"organism"	"strain"	"genotype"	"developmental_stage"	"age"	"sex"	"organism_part"
"ERR2576431"	"g16"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"cerebellum"
"ERR2576432"	"g17"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"heart"
"ERR2576433"	"g17"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"heart"
"ERR2576434"	"g18"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"kidney"
"ERR2576435"	"g18"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"kidney"
"ERR2576436"	"g19"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"liver"
"ERR2576437"	"g19"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"liver"
"ERR2576438"	"g20"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"ovary"
"ERR2576439"	"g20"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"female"	"ovary"
"ERR2576440"	"g15"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"brain"
"ERR2576441"	"g15"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"brain"
"ERR2576442"	"g16"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"cerebellum"
"ERR2576443"	"g16"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"cerebellum"
"ERR2576444"	"g17"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"heart"
"ERR2576445"	"g17"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"heart"
"ERR2576446"	"g18"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"kidney"
"ERR2576447"	"g18"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"kidney"
"ERR2576448"	"g19"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"liver"
"ERR2576449"	"g19"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"liver"
"ERR2576450"	"g21"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"testis"
"ERR2576451"	"g21"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day14"	"male"	"testis"
"ERR2576452"	"g22"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"brain"
"ERR2576453"	"g22"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"brain"
"ERR2576454"	"g23"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"cerebellum"
"ERR2576455"	"g23"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"cerebellum"
"ERR2576456"	"g24"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"heart"
"ERR2576457"	"g24"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"heart"
"ERR2576458"	"g25"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"kidney"
"ERR2576459"	"g25"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"kidney"
"ERR2576460"	"g26"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"liver"
"ERR2576461"	"g26"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"liver"
"ERR2576462"	"g27"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"ovary"
"ERR2576463"	"g27"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"female"	"ovary"
"ERR2576464"	"g22"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"brain"
"ERR2576465"	"g22"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"brain"
"ERR2576466"	"g23"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"cerebellum"
"ERR2576467"	"g23"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"cerebellum"
"ERR2576468"	"g24"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"heart"
"ERR2576469"	"g24"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"heart"
"ERR2576470"	"g25"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"kidney"
"ERR2576471"	"g25"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"kidney"
"ERR2576472"	"g26"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"liver"
"ERR2576473"	"g26"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"liver"
"ERR2576474"	"g28"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"testis"
"ERR2576475"	"g28"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"embryo"	"day17"	"male"	"testis"
"ERR2576476"	"g29"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"brain"
"ERR2576477"	"g29"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"brain"
"ERR2576478"	"g30"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"cerebellum"
"ERR2576479"	"g30"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"cerebellum"
"ERR2576480"	"g31"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"heart"
"ERR2576481"	"g31"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"heart"
"ERR2576482"	"g32"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"kidney"
"ERR2576483"	"g32"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"kidney"
"ERR2576484"	"g33"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"liver"
"ERR2576485"	"g33"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"liver"
"ERR2576486"	"g34"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"ovary"
"ERR2576487"	"g34"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"female"	"ovary"
"ERR2576488"	"g29"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"brain"
"ERR2576489"	"g29"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"brain"
"ERR2576490"	"g30"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"cerebellum"
"ERR2576491"	"g30"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"cerebellum"
"ERR2576492"	"g31"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"heart"
"ERR2576493"	"g31"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"heart"
"ERR2576494"	"g32"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"kidney"
"ERR2576495"	"g32"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"kidney"
"ERR2576496"	"g33"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"liver"
"ERR2576497"	"g33"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"liver"
"ERR2576498"	"g35"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"testis"
"ERR2576499"	"g35"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day0"	"male"	"testis"
"ERR2576500"	"g36"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"brain"
"ERR2576501"	"g36"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"brain"
"ERR2576502"	"g37"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"cerebellum"
"ERR2576503"	"g37"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"cerebellum"
"ERR2576504"	"g38"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"heart"
"ERR2576505"	"g38"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"heart"
"ERR2576506"	"g39"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"kidney"
"ERR2576507"	"g39"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"kidney"
"ERR2576508"	"g40"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"liver"
"ERR2576509"	"g40"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"liver"
"ERR2576510"	"g41"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"ovary"
"ERR2576511"	"g41"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"female"	"ovary"
"ERR2576512"	"g36"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"brain"
"ERR2576513"	"g36"	"Gallus gallus"	"Red Junglefowl"	"wild type genotype"	"postnatal"	"day155"	"male"	"brain"
