"cerebellum__ALS"	"frontal cortex__ALS"	"cerebellum__normal"	"frontal cortex__normal"
"ENSG00000004848"	0.434125878979081	7.64944652647181	0.358875872018524	7.79714531198237
"ENSG00000005001"	6.73694063105628	0.244696207609195	6.26017060962606	0.622513898616443
"ENSG00000005059"	3.18050942447422	5.50488500857842	2.16304505527684	5.02249484750968
"ENSG00000006016"	5.30001572794375	9.11776209990673	5.38785400303748	9.40889981965937
"ENSG00000006047"	1.13417241082251	5.26296286817748	0.537753414584851	5.35883095075853
"ENSG00000006116"	5.37402870317215	10.4792615671608	5.5936689910707	10.6223960899837
"ENSG00000006377"	0.455439537277232	5.26684433414544	0.168797634600809	4.97889587017385
"ENSG00000007171"	3.88767042254684	7.01125016995461	4.46113109231039	7.03676777481923
"ENSG00000007516"	4.15031735927304	10.85373774043	4.18471134719539	10.9437425992252
"ENSG00000008118"	5.38412669254262	10.4266635441941	5.3923115005764	10.4787602434196
"ENSG00000008196"	7.38648737888298	0.460598590325168	7.64777952732348	0.121287505366432
"ENSG00000009709"	0.298392133014755	6.67803369195203	0.207328762203535	6.6303143689099
"ENSG00000012779"	8.25615132090295	4.39006697359154	8.78241860906066	3.88508626517257
"ENSG00000019102"	1.55145054428299	5.59806295954339	1.43984109690574	5.41198324261428
"ENSG00000019549"	5.50228178720603	3.27552098650641	6.2281995698764	3.3411565275213
"ENSG00000026036"	5.04008004663986	2.91456031635031	5.64882582720974	2.82795953308738
"ENSG00000038295"	8.38054718842955	4.48047472899558	8.47801625408933	4.3579520096244
"ENSG00000041353"	5.07131950643045	9.05732700507407	4.68004334204337	8.81257287825456
"ENSG00000041982"	1.68520922712234	5.37473035599695	2.03438722575281	4.31056048149388
"ENSG00000043355"	11.9140981686199	7.17336074881561	12.3036047604606	7.28560781826363
"ENSG00000043591"	4.56055779814011	8.08040840302969	4.89584673861628	8.29119818678402
"ENSG00000047936"	0.104163465309746	5.38428038164087	0.832043171915092	5.34332291055556
"ENSG00000050628"	1.00395862551072	6.04657244559803	1.31520860342658	5.45730602784444
"ENSG00000054277"	3.79660132961379	6.84149387402958	2.9888902309394	6.68575510614035
"ENSG00000054803"	2.88981241475031	9.21964848079542	2.87230696287932	9.30347782160868
"ENSG00000058085"	7.6116138440904	2.72036911249132	7.29783761944926	2.76605738773651
"ENSG00000060140"	1.61145772779351	7.20558210019837	1.21480130489804	6.8930512023599
"ENSG00000061337"	5.59428082181266	10.5667243842667	5.21644869800138	10.6691006674252
"ENSG00000062096"	1.75741116353959	4.72825410257516	2.45708559826126	5.10014741945978
"ENSG00000062282"	4.3201955218614	7.42062582573154	4.24868638697237	7.24734513964696
"ENSG00000065325"	2.18879271229876	6.29202309822107	2.09559712909306	6.21242828113564
"ENSG00000066248"	6.54360698900537	12.1394644436041	5.93264758382845	12.3096458818808
"ENSG00000070729"	1.00880276622447	6.57987164801809	1.27472082012116	6.23771421727275
"ENSG00000070882"	4.27975588336208	8.2407780965154	3.90981271218871	8.0621628728386
