"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"
"ATHB52..HB52"	2.695715	3.159603	4.146427	3.619414	5.499844	5.500072	5.438368	3.701941	6.801176	6.243574	6.209078	6.669679	6.872844	6.93442	2.117216	4.874907	4.1289	5.788503	6.758202	6.039335	5.84208	2.798647	2.471675	1.056994	4.200915	4.869293	3.40693	4.821316
"AtMYB19..MYB19"	3.674716	3.049837	1.988308	1.655316	2.026671	1.555231	1.919773	7.182122	7.449493	5.91601	5.121239	5.903185	6.114401	6.030311	6.044265	5.02449	4.114305	2.407205	3.100314	3.531757	2.080133	5.441578	4.845568	2.711706	2.388499	3.146753	2.605688	3.293818
"CYP96A4"	3.313823	3.38278	2.449929	3.008411	2.161666	1.260283	2.966804	4.263251	1.087046	2.405338	4.392286	4.850327	4.92362	5.629974	2.914201	2.764096	3.190124	4.407182	4.511791	3.535861	2.754603	5.406688	1.729682	1.322448	1.09602	3.584647	3.035275	3.565116
"HDG7"	4.137638	5.460434	6.74657	7.621485	7.313015	8.39201	7.867748	2.440001	2.788236	5.039187	6.119262	7.000017	7.443296	6.600016	2.906497	2.529597	3.787007	4.756876	5.067542	4.238261	5.20686	2.669096	2.937604	2.184135	3.844341	4.868356	3.687501	5.792853
"AT2353..ATGA20OX2..GA20OX2"	4.300869	3.576018	3.470756	1.635731	3.219511	4.90118	4.533246	6.409664	5.31712	7.32797	5.898935	7.904632	8.77933	7.852243	4.93259	4.942969	4.456504	5.006796	5.303114	4.526044	5.324631	3.945284	3.445661	4.266103	2.906398	4.290525	3.700917	3.301785
"AtMYB78..MYB78"	3.889965	2.038509	3.276201	2.805032	4.308547	3.550568	2.120052	5.340109	4.88851	4.546903	5.114757	5.402697	4.826834	5.475877	6.541812	6.077006	6.330002	5.410478	6.127412	6.98631	6.437937	6.947261	8.499537	8.646217	7.358044	6.911154	7.782809	8.557863
"KCS21"	3.607899	2.610919	3.895186	3.827526	3.054167	3.736175	3.387815	4.485051	3.954624	3.022254	4.57844	4.682247	3.912978	4.30067	2.274373	5.978846	4.751565	2.230622	4.641585	4.630105	3.652504	2.557229	4.214034	4.021573	2.023897	4.663551	4.128163	3.643115
"FLS2"	5.5045488	3.7274212	1.1490782	0.1760524	0.1193461	1.1931751	1.9004844	2.0083939	5.2196496	5.3968839	6.1137519	4.9504907	5.2722684	5.5705702	2.2716948	1.4229277	3.0501934	1.2318136	2.2594829	1.7117992	1.0292786	4.9854415	4.7309203	3.787848	4.9814091	2.7740877	3.6989845	2.2449792
"ARAC2..ATRAC2..ATROP7..RAC2..ROP7"	6.036007	4.202688	2.718139	3.181301	3.22614	3.944982	4.002104	7.349927	5.493956	6.265918	6.453335	6.540651	5.843842	5.916395	8.215249	7.16311	6.81837	5.981743	6.492317	6.833014	6.887842	8.424406	9.334834	8.965034	9.225919	8.74903	9.07314	8.816674
"AtNPF5.2..ATPTR3..NPF5.2..PTR3"	4.323675	4.384973	3.634778	3.492547	2.94691	4.055647	2.052386	9.745987	7.792565	9.188805	7.963351	7.090009	7.035717	6.712871	7.181635	5.548897	3.705834	3.353713	4.119508	3.564479	3.486351	7.619217	5.374216	4.912155	5.752895	5.231918	2.432087	3.244323
"EDA23..GSO2"	4.238008	4.252787	1.545636	4.70332	3.023061	3.359842	3.323834	6.380327	6.33476	6.544547	6.06716	5.314204	5.413649	5.361067	8.213099	9.183013	8.437766	8.666775	8.403747	6.932176	7.297801	6.596036	6.639946	6.499208	5.711746	6.000661	5.542492	5.355576
"ATCLH2..CLH2"	4.496428	2.957486	4.091028	2.386194	3.281447	2.196697	3.96719	4.451572	5.314104	4.781997	3.831577	4.784119	4.797598	4.823293	5.204372	3.585709	4.966167	5.477718	5.64041	5.917643	5.802642	5.442152	5.73119	6.558799	5.926658	5.406482	6.663718	6.297934
"AGO10..PNH..ZLL"	4.527843	3.802197	4.80908	4.516871	3.332055	2.582778	5.135926	5.556222	4.908328	5.518951	5.283795	5.54975	4.899093	5.476517	6.822977	6.513222	6.711589	5.906025	5.969729	6.505833	6.69876	7.141173	7.424763	7.917958	7.658822	7.217817	7.84979	8.295192
"BKI1"	4.249122	3.125888	3.910276	3.603665	3.892914	1.981327	1.974083	7.322681	6.339014	6.428573	5.778694	5.930743	6.246976	6.149918	7.10633	5.587534	6.005445	6.488264	6.411837	6.953286	6.687396	6.940577	5.141925	5.657808	5.795078	5.147345	5.012017	4.05759
"MRN1"	8.076258	7.744725	7.665797	6.57505	7.595822	10.018988	9.060636	7.40377	7.782665	8.152507	9.460746	11.996926	11.393538	12.464463	7.01215	5.675394	5.725559	3.853723	6.538047	6.842482	7.535946	8.497477	9.029318	8.589609	7.225262	9.612933	9.63972	9.803051
"ASFT..HHT..RWP1"	6.435822	6.373843	6.891949	6.612611	5.251219	5.184324	5.527779	9.516208	8.896634	10.895186	10.57024	7.818866	7.871123	8.486723	11.850915	13.160952	14.385319	13.753881	12.660221	11.321016	11.685144	10.258486	9.900285	12.273838	11.218345	9.144757	8.103583	7.745573
"BEL1"	3.570843	2.930422	2.855777	4.217605	4.674744	3.104026	2.094195	4.087903	2.258277	4.356105	4.456173	4.708835	2.967546	4.402252	2.796181	3.663872	2.567821	3.553289	2.21007	3.8143	3.210746	5.54601	5.507929	5.501149	4.481064	2.752952	3.502874	4.997133
"GLIP1"	3.501756	3.066483	4.076413	2.198899	2.834594	4.150846	4.394139	1.845182	2.956406	4.880972	4.772161	3.490249	3.590423	3.746587	3.643566	3.487835	7.707876	7.943571	6.831861	5.492905	6.119241	4.210577	3.631537	4.909071	4.327352	4.151715	4.162496	3.665713
"ATBR6OX..BR6OX..BR6OX1..CYP85A1"	4.1607013	2.4897415	2.206484	0.9807556	1.0119907	1.5443798	1.9574211	6.3949146	3.4864922	5.7973511	2.6657481	4.5168344	2.616988	3.8871726	4.9857394	3.6314413	2.497279	3.0470615	1.1709476	4.807835	4.1693819	5.9113861	2.2024948	3.2874215	2.4191862	4.6821599	3.6054037	5.0825765
"GLP6"	3.201607	3.76037	4.033109	4.520816	5.059056	4.169352	4.287994	3.8021	4.510706	3.075846	2.412562	4.077923	2.583866	4.456013	4.764518	3.614726	3.864264	5.645098	5.088685	2.020869	4.734468	5.794127	3.29415	2.807921	4.050732	4.941252	3.435201	3.366804
"CYP716A2"	5.259268	4.336863	4.149426	3.904082	4.005907	4.104999	4.601202	4.82075	3.454681	3.9515	3.73947	4.485169	3.906026	5.682064	3.851393	4.205715	3.085963	4.128194	2.618764	3.754245	1.740558	7.697704	4.875691	5.748381	3.768196	5.458649	5.195466	5.599986
"ATXR6..SDG34"	5.611249	4.88401	6.323475	6.604433	6.470155	7.197982	6.950975	3.874862	4.973486	5.412587	6.163739	6.25848	6.024031	5.600452	1.875345	4.815673	2.989514	5.704593	5.053359	5.87175	5.714877	4.653445	2.529732	4.160506	5.29435	4.684445	4.612766	5.38623
"TET12"	8.30679	7.266966	3.503133	5.566864	5.869601	4.290767	2.876137	7.763752	5.513932	6.235999	6.061776	6.935709	5.79795	5.93251	7.736117	6.628225	2.443372	3.735197	4.744787	3.072878	2.519007	9.046278	6.771959	5.78628	5.698738	8.055927	6.761861	5.411317
"CYP86B1"	3.520966	3.053557	5.039393	4.438633	3.16293	2.541574	4.653636	2.669719	2.686612	5.657562	7.671911	4.508874	3.210552	3.303033	5.801755	9.049518	11.00154	10.739659	9.022416	6.359051	7.451657	4.620758	5.245187	8.408068	8.024352	5.719702	4.488853	2.84597
"ATGSTF12..GST26..GSTF12..TT19"	4.759781	3.510796	2.687705	2.668084	2.968509	1.489136	2.684098	6.143498	5.249304	5.499488	4.199927	4.001679	4.784298	4.761173	4.210607	3.746348	3.704306	4.607196	5.70008	3.821092	4.290883	4.929584	3.412228	3.226063	3.420602	3.776394	3.608939	5.496607
"AtMYB43..MYB43"	6.458739	5.328378	2.989988	3.794591	4.081895	3.114326	3.6333	9.484361	8.350303	8.069173	7.125915	7.033265	6.769776	7.095326	10.526596	9.159231	7.096946	6.660391	6.910945	6.847915	6.25612	9.312118	8.668217	8.251268	8.598127	7.917039	8.462861	8.420223
"ATF2..TRXF2"	2.422065	4.392389	3.239125	3.808532	3.584273	4.223192	4.962972	6.764895	6.278911	6.447072	6.896453	6.693717	6.800105	7.191359	5.714129	6.70738	5.459809	7.007468	6.741875	7.240577	7.270263	5.076889	5.559674	4.783355	5.743623	5.05238	5.199125	5.930166
"AtMYB40..MYB40"	5.13198	2.089263	1.415123	1.394097	2.977478	1.390622	3.689002	9.849709	5.935248	8.474403	5.513619	5.733991	6.031732	5.638185	9.067984	6.492107	5.761739	4.846293	6.415309	5.636986	4.995198	8.488559	5.330244	4.162887	5.577115	6.105819	5.239726	5.619467
"AGL15"	2.4486818	1.636062	2.1651828	2.0661276	0.7116605	1.7475536	2.4008744	1.018701	1.603526	3.3928126	4.819435	2.9680942	1.1651583	3.1025876	1.5447194	2.1937197	3.9869743	3.7267123	4.2412527	4.9068091	2.028033	3.1720012	4.6084598	5.311463	5.2710571	5.3724209	5.5902137	4.8325826
"AtGH3.12..GDG1..GH3.12..PBS3..WIN3"	1.603568	1.7548602	0.9761671	1.6475637	1.2691762	1.0744279	1.3548728	1.3550666	2.9817333	1.5312756	5.7552632	1.6778611	3.3182347	1.3542135	1.8341444	3.1134298	7.0032883	8.3928159	6.4780201	1.958467	2.6069243	0.8743603	1.4589572	2.4989105	6.1702877	2.1557936	1.8511839	2.046945
"ATMYB46..MYB46"	6.649672	5.121401	4.455705	4.561231	3.502392	4.352463	5.143224	7.442871	6.508599	7.428692	7.466535	7.398433	7.097124	6.969151	8.437258	8.160359	7.492887	7.693042	7.395574	7.997676	6.971776	8.807656	10.23895	10.006494	10.706162	9.810413	10.359882	10.210265
"ATMYB64..ATMYB92..MYB92"	5.038742	4.106011	4.387464	5.00275	2.513896	3.049792	3.406375	7.166645	7.098025	6.714385	6.387023	5.7364	6.072768	6.189262	8.662824	9.436469	9.167339	9.4397	8.877885	8.134088	8.143709	7.639808	7.055449	6.550474	6.371044	6.268422	3.867142	5.44655
"ATMIPS3..MIPS3"	4.933426	1.895519	2.855434	2.944246	3.954411	4.058575	2.315293	4.934258	6.637851	6.720148	5.070934	5.788202	6.191131	5.359806	4.62646	4.916531	6.649003	7.127261	7.262095	6.922111	6.94306	5.144777	4.808068	5.977801	5.686511	5.079672	5.350112	5.967891
"ANN7..ANNAT7"	1.447775	2.430723	2.416121	3.458354	2.748103	4.61113	1.715875	1.151629	3.159983	5.146327	3.344575	1.360996	4.383223	4.933174	6.197419	5.338798	8.78848	5.846727	5.226765	6.180482	5.030856	3.512505	3.819792	6.019186	4.529402	3.106614	4.693196	3.760391
"ATBX3..ATBXL3..BX3..BXL3..XYL3"	4.114208	4.474685	2.23082	2.617351	3.006262	2.157955	4.242077	4.15641	4.687023	4.126236	4.446918	4.144924	3.360405	1.344946	2.514225	4.21803	3.822203	5.194122	4.899657	3.497068	4.80368	4.941304	2.643617	4.025038	5.101968	5.072554	3.931151	2.811894
"HAT14"	3.564288	3.728276	4.270396	3.909603	4.577873	2.68287	2.097269	3.236714	2.46566	3.130912	3.401991	4.259353	2.454524	5.015939	5.078301	3.332283	3.752024	6.542957	6.195721	6.518547	6.474159	5.935834	6.552224	6.712355	6.670428	6.254453	6.969242	7.495848
"CBB3..CPD..CYP90..CYP90A..CYP90A1..DWF3"	6.594417	5.756525	5.16114	4.996389	4.867834	4.785804	4.924958	8.273315	8.55021	7.552729	7.258774	7.528934	7.467002	7.411779	9.372131	8.790666	9.023801	7.773216	8.230069	8.740255	8.823685	8.676295	10.17916	10.180742	10.065499	9.97631	10.252615	10.759268
"LAC12"	4.763363	3.307502	3.988312	4.093823	5.403608	2.138712	3.489437	3.065737	5.075116	6.951867	8.105928	4.606291	4.585453	3.7063	6.206808	8.935973	11.285731	11.213643	9.71072	7.348591	8.11074	4.946706	6.219368	8.846949	8.790993	6.309078	5.767041	5.326876
"JKD"	2.354508	3.175282	3.815342	3.109786	1.78542	2.677757	2.194166	7.851406	7.419052	7.427304	6.633559	6.877465	6.923151	6.793716	7.68072	8.097008	7.513778	7.099653	7.020746	6.864868	6.899916	5.664146	5.636954	5.291572	4.994314	5.005655	4.36417	5.548665
"GSTL1"	1.928353	2.013382	4.372797	1.6996	2.45962	1.733878	4.582352	1.883762	4.647593	7.930676	7.189596	5.417895	5.741452	6.106792	7.289018	9.607221	11.501986	9.420054	9.431015	9.071135	9.579049	3.480739	7.516174	10.072109	7.736656	6.537144	7.283785	7.656266
"LecRK.VI.4..LECRKA4.3"	5.817652	6.813522	6.841728	7.401497	6.495536	7.802096	7.865662	5.254783	3.216062	5.675731	6.507302	5.912346	5.870881	5.940731	2.122085	1.366048	1.208225	2.391902	3.872375	1.811812	2.624914	6.281978	5.568201	3.458981	4.312393	5.527173	4.109393	5.637403
"LAC10"	4.22324	2.724793	1.812992	2.974808	4.189219	2.167402	2.406697	5.949659	4.188888	5.229448	5.41401	5.141854	5.108854	3.542586	5.605332	4.455339	4.539953	5.347755	4.802386	4.748332	4.825617	6.782649	7.014723	7.637961	8.007678	7.016469	7.382353	6.803254
"CSP41A"	3.503955	3.463839	2.601127	3.00546	3.384496	2.390419	1.214078	5.303926	6.040976	5.722921	4.82581	4.426782	3.967837	4.740514	3.632453	4.847291	1.924799	3.919481	3.799016	2.614028	4.013399	3.709571	2.652131	3.238358	3.93007	4.716314	4.186293	1.148814
"FKD1"	3.416849	3.078541	2.851338	2.71312	2.714581	4.15926	3.255018	7.749412	6.35127	6.868017	5.411044	5.997982	5.716412	5.562595	7.69284	7.232532	6.422858	6.907175	6.279516	5.231268	4.671174	6.952352	5.000232	6.336217	7.732003	6.691183	6.340162	6.887877
"ATCKX6..ATCKX7..CKX6"	3.514203	3.124206	5.191956	3.008094	4.639326	3.148232	2.846835	2.402031	3.71438	3.285241	5.018609	4.028202	2.902206	3.869718	1.796549	3.765309	4.643254	2.760831	5.014244	3.456591	5.503742	3.74607	6.717488	6.634311	5.067437	4.356138	6.466501	6.805811
"ATL5"	3.26349	4.363662	3.964844	2.604673	2.586468	3.153641	3.423819	5.986895	3.951519	4.207467	4.124251	4.348941	2.732464	4.845735	6.590697	6.104148	5.918274	6.314806	4.78521	5.773313	5.390832	5.440773	5.004786	5.160699	5.889894	5.427176	4.754888	4.397053
"CP12..CP12.2"	2.922112	3.053192	4.948712	5.025151	5.448842	5.839051	6.45449	4.518234	5.221296	5.724658	6.285049	6.535731	6.462161	7.43064	2.391435	2.215392	3.200479	3.188636	4.914976	4.920406	4.84872	3.41238	4.401175	3.696271	3.377544	4.382162	5.586773	5.994496
"PIF6..PIL2"	4.700588	3.249297	4.168183	4.229477	3.365414	3.402361	4.776799	4.063565	6.53809	5.489025	5.696692	5.639966	5.591717	5.827767	7.081692	7.368216	7.529166	7.300053	7.196541	7.320063	7.262584	5.436478	7.797579	8.68072	7.222987	6.872656	7.53979	8.051113
"GUN4"	0.5544998	1.2297987	0.3338991	0.3442916	0.3325346	1.0043914	0.8380707	5.7620741	5.7321716	5.4044542	5.8579939	4.0307463	4.7181575	5.1483446	3.3730786	2.0974722	1.4180969	2.7976471	3.0605811	1.5562983	0.3620429	2.2026667	0.3402237	-0.5718851	1.5051216	1.6409047	1.6034283	1.1652762
"AGL1..SHP1"	4.035914	1.69426	3.816659	1.613372	4.369268	1.697605	2.956905	2.897011	2.689921	3.566532	2.637137	4.191757	3.026695	3.097463	4.080281	4.47575	4.897974	3.628312	4.562491	4.648665	3.856653	5.426205	6.948493	7.741538	7.422509	5.900132	6.368177	6.210686
"ASL16..LBD29"	2.582791	2.632827	2.763883	2.836662	1.820927	2.823686	2.244483	5.489781	5.390852	4.727394	6.161386	5.337398	3.125837	4.673874	8.478817	7.284745	6.91317	6.055878	3.392756	5.832137	6.607477	6.599795	8.167757	8.089813	5.160261	4.331641	6.515471	6.115492
"RTM3"	1.9747468	2.2806746	1.6892311	0.5403638	1.0959582	2.3352583	2.0316983	1.4185409	3.0973665	1.8597794	2.4415611	2.2869695	3.1118765	2.0738652	2.5883813	2.2743031	3.6984943	2.3231682	2.0070047	2.4267035	2.797502	2.0760528	1.6731201	3.4965693	5.5631992	4.63701	5.0915743	6.0619046
"BHLH039..bHLH39..ORG3"	5.39248	4.763335	3.165342	3.680917	3.854862	1.412137	4.272597	7.101217	4.599825	5.641222	5.574198	5.558801	4.831172	5.653856	7.837157	4.29124	5.692082	5.407318	5.96386	5.885014	7.073341	7.065946	5.663225	6.374932	3.929206	5.341408	5.096421	7.587219
"SBPASE"	4.382378	1.828099	4.209153	3.750785	2.149875	3.312624	4.591011	6.530916	7.29496	7.35397	6.97649	5.738909	5.952663	4.90696	2.151404	3.638586	5.382694	4.364252	4.390898	4.739738	4.863097	3.322259	4.932365	4.487733	5.605185	4.480109	5.62252	3.820235
"OBP3"	3.360464	2.224574	2.384859	3.006296	3.123147	2.539973	1.748497	6.49894	5.662245	5.304901	4.910932	3.088446	3.248772	2.366568	7.991942	5.969685	7.168616	5.335139	6.769106	6.82021	6.211701	6.781905	7.927884	8.422732	7.311561	6.767811	7.733732	7.96096
"HCEF1"	2.50057	2.024961	2.706293	2.633851	4.029271	3.008331	1.599689	5.933903	6.635278	6.411763	5.693476	5.677758	4.488312	5.153753	1.773259	3.534433	4.988565	2.756605	3.636957	3.486829	1.777794	3.305978	2.687106	1.252481	4.744443	1.973422	4.168719	4.529515
"AP3..ATAP3"	4.2379	2.383865	1.852121	4.843617	2.675143	4.576875	4.089835	5.438558	4.530827	4.284368	3.443144	4.789214	4.912211	5.182131	6.262785	6.453706	5.834484	6.833578	6.376701	6.693303	6.628637	5.691893	4.4118	5.291414	4.820538	5.34124	6.155518	5.587236
"ATCHX20..CHX20"	7.084434	9.31431	9.674385	9.923623	9.577689	9.6667	8.738922	5.369304	7.468877	7.561842	8.146431	8.131566	7.386036	7.030864	4.205507	5.398371	5.104393	5.978996	6.253575	5.844178	4.842798	4.329136	7.489361	6.042245	7.031628	7.046652	6.613128	6.275227
"ZPR3"	4.7991559	6.0867979	5.6786841	6.2155934	5.9924255	2.6427268	4.8840875	5.1137478	6.0660623	3.5718414	4.2887496	3.5684793	5.2464064	4.9040482	5.0576372	4.6065236	5.294428	3.5565871	2.1534787	4.9599896	5.5151255	2.7813125	4.4873242	0.8568499	5.0482755	5.1910233	5.0659248	2.8628625
"GATA18..HAN..MNP"	3.4232436	2.3391841	0.7316654	4.148568	4.1159794	1.3590044	3.2896781	2.5379787	4.5868203	2.3869661	3.4505184	4.5459172	4.5162896	3.0337533	4.3771268	5.2241307	6.161398	6.4879798	6.582152	5.6888514	5.3444671	4.1162662	5.8035807	5.1579172	5.7319673	5.5285048	4.0151248	6.3195005
"OEC33..PSBO.2..PSBO2"	4.079986	2.611125	2.233189	2.405649	2.961675	3.531121	3.26989	7.00465	7.302814	7.519534	6.915687	7.13452	6.825904	7.068727	3.606166	3.618403	3.255598	3.368248	4.032369	3.46707	2.763839	6.840456	3.36718	3.0301	2.846586	2.868829	3.090565	3.809973
"ATMES10..MES10"	2.447168	3.126937	5.269349	3.559018	2.977845	4.344473	4.158357	1.288652	3.01824	4.404859	5.665648	3.261333	5.18723	4.139121	4.547167	3.531947	3.406472	3.819516	6.893777	4.746014	4.598105	3.098412	2.666936	2.102213	1.98464	2.333045	1.984693	2.690395
"HR4"	2.633828	2.986078	2.529728	3.430386	2.407342	3.081035	2.603269	1.675773	3.226059	4.612845	6.046795	5.999211	5.141143	6.517308	2.780471	3.87423	3.30067	2.333897	2.729227	4.631124	3.366209	1.959302	3.23841	2.200916	2.946097	4.108182	3.634517	3.257602
"UGT72E1"	7.869577	9.386392	9.274367	9.669177	8.950983	9.322815	8.752943	6.124575	6.440356	6.961323	7.005277	7.026608	7.118485	6.178924	5.351907	4.174293	5.653886	5.059514	5.986146	5.132819	4.893396	5.350313	6.420331	3.720455	4.989729	6.124995	6.15828	5.968275
"KICP.02"	5.845707	6.85309	7.387426	7.436441	6.960054	8.017146	7.92298	5.804843	5.959601	6.514507	6.818997	6.633611	6.9265	6.339427	5.124464	3.841321	3.973463	5.331501	5.788318	5.560427	6.083339	2.979135	6.169976	4.36227	2.99288	5.028477	4.597214	6.351777
"ATMYB84..MYB84..RAX3"	5.607431	5.408955	5.15275	5.239856	3.771602	5.15729	4.501995	7.100562	7.297856	7.586723	6.884765	6.85481	6.916638	7.207521	9.479549	9.179537	8.667781	8.158834	8.34805	9.114735	8.595663	7.469922	9.756564	9.661846	8.851014	8.676558	9.516588	9.708453
"DIN11"	5.137024	2.21049	1.252771	4.126136	4.822153	4.080794	5.619926	3.409351	3.481896	4.032261	4.69576	7.479899	5.16715	7.090212	3.078172	4.039762	5.829913	4.395036	8.236564	8.431223	9.402704	3.469581	6.343462	7.039864	5.984188	8.285957	8.925996	10.373777
"ACS9..AtACS9..ETO3"	2.944305	4.168632	3.3972	3.724363	5.269174	3.502265	3.578164	3.761317	3.100162	3.990901	6.036139	7.301794	6.722126	6.457873	3.608615	5.355693	5.394948	5.243998	5.789967	5.274972	4.942542	5.314006	3.769153	2.633785	3.775004	6.391667	4.845822	3.466986
"ABCA3..ATATH2..ATH2"	6.1592834	5.93461	3.2479099	3.396265	3.9721106	2.757182	2.3984172	6.2162896	5.7851363	4.1116882	4.0486639	5.2871799	4.8721826	3.1599918	6.0269193	5.3007332	3.6258729	0.9907767	4.0583483	3.5204752	2.8889477	7.4558383	6.2621831	4.0698776	4.18275	6.190294	5.741058	4.5893283
"ABCA6..ATATH5..ATH5"	5.700867	4.721605	4.064564	4.288702	4.615902	4.476411	3.700311	4.97591	4.102148	5.173056	5.271704	4.893158	4.499726	3.900556	4.938027	5.515893	3.433324	2.078085	2.39309	3.579956	3.299119	5.527939	5.181211	2.770239	4.26402	5.867424	4.98448	3.128676
"AtTCP14..TCP14"	3.783427	3.516957	3.373362	2.426815	2.464768	3.519681	4.123121	7.194963	6.674454	5.974693	5.82271	6.110628	6.167181	6.436954	8.921179	7.388835	6.698346	6.266748	6.287234	7.020024	6.768115	8.015324	8.73397	8.428612	7.892078	7.463895	7.963496	8.238112
"JK224..NPH1..PHOT1..RPT1"	4.50426	2.951883	2.780586	2.202837	2.353881	2.399257	4.199384	7.83801	8.355882	8.234831	8.204288	8.28955	9.316234	8.951859	6.341602	6.592414	7.195329	6.408897	7.315468	7.939443	7.765193	5.845076	6.241879	6.564318	7.009017	6.883355	7.376717	7.851154
"ATSYP72..SYP72"	3.0729	2.132003	2.532891	2.349714	2.54158	3.791266	3.680392	5.10055	3.476524	4.714011	4.296778	4.722539	4.035725	4.757453	5.954949	6.37069	6.267865	7.258328	6.968678	7.035114	6.8337	5.803068	7.374446	7.279753	6.98559	6.316292	7.08574	7.016512
"ATLOX2..LOX2"	4.426304	3.329907	1.644405	4.584596	3.353236	4.697081	3.481073	4.222358	4.380106	3.939701	4.329066	5.010955	3.521383	3.528817	4.351971	3.01286	3.215361	3.068112	4.416442	3.278442	3.617671	2.940228	3.394847	3.716717	1.939942	2.11386	1.605275	3.073312
"FAR4"	4.646041	3.356605	3.413753	5.037781	4.81281	3.615145	4.835001	4.512961	4.792856	6.436057	8.571952	4.739931	1.997145	4.907294	5.475784	7.308472	11.176684	11.090438	10.068734	7.025396	7.829727	4.871905	5.469604	7.574964	8.32948	5.73642	4.482944	4.857901
"FAR5"	4.462379	3.245413	3.919006	3.547365	4.700332	1.909309	4.59514	4.83429	5.134029	6.221675	8.24673	5.370741	5.988749	6.017114	6.06765	8.109767	11.030036	10.694424	9.794145	7.296094	7.701773	4.526143	5.450225	8.19438	8.195753	5.926461	4.374329	5.390234
"AtbZIP67..DPBF2"	4.431449	2.943293	5.319333	3.807021	5.006526	6.167983	4.9561	3.97335	5.063927	4.658848	6.061594	6.345071	6.169426	6.371781	2.904401	3.221754	2.491354	3.323385	4.424262	5.402263	3.61614	2.846464	3.705875	3.053597	4.449371	3.898723	4.446197	4.176366
"AtFBA2..FBA2"	4.704114	4.903444	5.2048	4.773913	5.437311	4.426928	4.684911	8.312692	9.396657	8.89192	8.662284	7.894149	7.189587	7.313305	4.311323	5.450431	4.658834	4.807875	5.44488	5.115024	5.324609	5.457484	4.847934	4.96575	5.08509	4.069636	5.069003	4.817067
"ATMYB4..MYB4"	7.473792	5.478612	5.59026	6.047431	5.517902	5.340368	4.582554	10.713486	9.406305	9.887803	9.646944	9.697776	9.589532	9.959444	11.174494	10.457761	10.425566	11.070993	10.076788	9.454283	8.66269	11.517344	10.895948	10.862155	9.954995	10.099714	10.065905	9.578121
"CYC1..CYCB1..CYCB1.1"	5.992223	6.556615	6.740613	7.317582	7.07775	8.196929	7.574374	2.880285	4.715798	4.782835	5.280111	6.884541	7.427367	5.938396	1.760062	1.739139	2.320045	5.291891	6.347245	6.05906	6.39385	4.204627	2.976893	3.71311	5.488332	5.11321	6.285206	5.995103
"SGR7..SHR"	3.210027	2.09902	2.724426	1.819113	2.28384	1.287819	1.83403	6.282813	3.764174	2.429484	3.269405	3.101479	1.812175	1.954298	6.845852	3.906055	4.834908	6.107554	6.562229	5.776786	6.312968	7.287276	5.548802	5.839942	6.828674	6.283967	5.429079	6.905324
"ATMYB87..MYB87"	0.95752891	1.28953973	0.73142645	-0.04552525	0.38905794	0.34310097	2.64351585	0.78119425	2.05099167	2.36013259	4.90265257	2.10908673	3.08649044	3.95138665	2.45219908	2.17134479	1.55849645	6.54218094	4.27475093	1.16282484	2.46045837	1.31304629	2.10253328	2.49999881	5.84530718	2.2750268	2.12590257	2.32935031
"ANAC076..NAC076..VND2"	5.246313	4.356511	3.189005	2.811202	3.07564	3.190816	3.718317	6.047354	5.347566	5.715778	5.495161	5.933783	5.623515	5.000951	6.551417	6.585413	4.970553	5.834423	5.796655	5.87316	5.232975	7.128376	8.286312	8.364799	9.162998	8.579651	9.181935	9.185401
"CYP84A1..FAH1"	3.203515	2.759761	2.540667	4.319822	3.953545	4.122926	4.006894	4.735045	4.421852	4.433938	6.896327	7.879526	6.61721	7.654814	2.657629	1.757252	2.50148	2.919088	5.276228	3.397724	4.343571	3.616233	2.671299	2.627495	2.678709	4.332867	4.350432	5.499987
"DRL1..TKPR1"	3.152958	3.530014	2.71257	3.031313	3.00093	3.051054	4.132483	5.247288	5.178846	3.831959	5.652798	2.513039	4.027422	3.986309	7.122192	7.580395	8.887948	8.427548	8.118307	5.674164	5.972139	5.391268	4.192237	5.94352	5.654842	2.88923	3.167297	3.702529
"GATA3"	2.470808	1.507713	1.44543	3.392388	3.830436	3.500936	4.062135	4.627792	5.405122	4.228181	5.393185	3.687346	3.939962	4.258887	7.026672	7.480197	7.53033	6.658554	6.588882	4.474713	5.904143	5.594969	6.41628	6.084102	5.168324	4.673073	4.974799	4.915125
"SQS2"	2.495973	2.550781	3.448853	2.835735	1.742051	2.608454	2.62234	3.925699	4.277113	4.90924	2.931246	3.366357	3.490125	3.982193	5.024115	5.914294	5.660091	4.871466	3.726069	3.829314	3.390271	3.083293	5.809661	6.661072	2.946412	4.052931	3.40653	3.815024
