"brain__day0"	"brain__day0"	"brain__day155"	"brain__day155"	"brain__day70"	"brain__day70"	"heart__day0"	"heart__day0"	"heart__day155"	"heart__day155"	"heart__day70"	"heart__day70"
"ENSGALG00000005951"	1	1	7	7	3	3	3	3	3	3	27	27
"ENSGALG00000006016"	173	173	296	296	190	190	175	175	12	12	49	49
"ENSGALG00000006031"	85	85	80	80	21	21	0	0	0	0	7	7
"ENSGALG00000006091"	3	3	3	3	0	0	2	2	1	1	0	0
"ENSGALG00000006119"	75	75	67	67	40	40	0	0	5	5	3	3
"ENSGALG00000006120"	20	20	50	50	15	15	61	61	16	16	18	18
"ENSGALG00000006241"	54	54	35	35	19	19	32	32	33	33	65	65
"ENSGALG00000006331"	380	380	371	371	316	316	30	30	13	13	28	28
"ENSGALG00000006362"	13	13	3	3	6	6	0	0	0	0	0	0
"ENSGALG00000006406"	571	571	2542	2542	280	280	0	0	0	0	0	0
"ENSGALG00000006469"	11	11	6	6	3	3	2	2	1	1	1	1
"ENSGALG00000006491"	9	9	53	53	17	17	3393	3393	1032	1032	1402	1402
"ENSGALG00000006593"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000006666"	10	10	16	16	7	7	0	0	2	2	0	0
"ENSGALG00000006712"	43	43	34	34	28	28	1	1	1	1	0	0
"ENSGALG00000006804"	515	515	229	229	189	189	34	34	11	11	25	25
"ENSGALG00000006835"	8	8	5	5	3	3	18	18	4	4	2	2
"ENSGALG00000006964"	57	57	70	70	44	44	142	142	184	184	138	138
"ENSGALG00000007003"	3	3	6	6	1	1	1	1	4	4	1	1
"ENSGALG00000007042"	144	144	141	141	140	140	16	16	29	29	9	9
"ENSGALG00000007109"	3	3	3	3	8	8	3	3	28	28	2	2
"ENSGALG00000007157"	92	92	183	183	57	57	3	3	10	10	6	6
"ENSGALG00000007406"	0	0	0	0	1	1	0	0	0	0	0	0
"ENSGALG00000007417"	218	218	144	144	176	176	1	1	0	0	2	2
"ENSGALG00000007525"	14	14	43	43	8	8	123	123	106	106	166	166
"ENSGALG00000007570"	0	0	2	2	0	0	6	6	7	7	6	6
"ENSGALG00000007607"	41	41	58	58	30	30	2	2	4	4	1	1
"ENSGALG00000007680"	145	145	136	136	127	127	38	38	14	14	17	17
"ENSGALG00000007690"	16	16	13	13	11	11	5	5	1	1	8	8
"ENSGALG00000007706"	7	7	3	3	1	1	0	0	0	0	0	0
"ENSGALG00000007791"	0	0	3	3	0	0	0	0	0	0	0	0
"ENSGALG00000007831"	0	0	0	0	1	1	0	0	0	0	0	0
"ENSGALG00000007841"	267	267	411	411	537	537	11	11	4	4	8	8
"ENSGALG00000007853"	0	0	0	0	0	0	0	0	0	0	5	5
"ENSGALG00000007864"	111	111	75	75	85	85	6	6	3	3	2	2
"ENSGALG00000007907"	19	19	17	17	25	25	21	21	18	18	22	22
"ENSGALG00000007941"	101	101	73	73	50	50	148	148	100	100	117	117
"ENSGALG00000008037"	6	6	4	4	3	3	2	2	22	22	4	4
"ENSGALG00000008103"	224	224	303	303	165	165	101	101	73	73	97	97
"ENSGALG00000008121"	22	22	0	0	4	4	6	6	6	6	37	37
"ENSGALG00000008150"	38	38	98	98	196	196	2	2	3	3	2	2
"ENSGALG00000008188"	187	187	42	42	55	55	18	18	21	21	10	10
"ENSGALG00000008193"	4436	4436	3480	3480	3858	3858	266	266	178	178	244	244
"ENSGALG00000008417"	75	75	89	89	75	75	10	10	12	12	4	4
"ENSGALG00000008462"	0	0	0	0	2	2	0	0	1	1	0	0
"ENSGALG00000008548"	68	68	46	46	22	22	21	21	3	3	6	6
"ENSGALG00000008646"	1	1	0	0	1	1	1	1	81	81	4	4
"ENSGALG00000008696"	72	72	43	43	76	76	21	21	14	14	8	8
"ENSGALG00000008823"	318	318	225	225	221	221	464	464	312	312	139	139
"ENSGALG00000008905"	82	82	10	10	18	18	40	40	63	63	11	11
"ENSGALG00000008908"	136	136	108	108	115	115	0	0	0	0	0	0
"ENSGALG00000008996"	98	98	259	259	93	93	61	61	78	78	22	22
"ENSGALG00000008998"	112	112	210	210	134	134	313	313	11	11	10	10
"ENSGALG00000009278"	5	5	3	3	0	0	243	243	48	48	49	49
"ENSGALG00000009431"	68	68	85	85	85	85	25	25	40	40	38	38
"ENSGALG00000009479"	5	5	86	86	90	90	2	2	201	201	58	58
"ENSGALG00000009616"	161	161	99	99	71	71	14	14	3	3	9	9
"ENSGALG00000009639"	113	113	141	141	87	87	113	113	47	47	81	81
"ENSGALG00000009652"	65	65	97	97	19	19	12	12	10	10	10	10
"ENSGALG00000009830"	10	10	11	11	21	21	11	11	24	24	22	22
"ENSGALG00000009902"	313	313	294	294	135	135	12	12	5	5	7	7
"ENSGALG00000009958"	2	2	0	0	0	0	1	1	4	4	0	0
"ENSGALG00000010018"	0	0	0	0	0	0	24	24	74	74	33	33
"ENSGALG00000010057"	68	68	28	28	59	59	1	1	0	0	3	3
"ENSGALG00000010068"	72	72	131	131	76	76	5	5	16	16	37	37
"ENSGALG00000010116"	14	14	20	20	10	10	0	0	3	3	1	1
"ENSGALG00000010120"	64	64	56	56	32	32	380	380	36	36	78	78
"ENSGALG00000010137"	13	13	9	9	10	10	0	0	0	0	0	0
"ENSGALG00000010222"	7	7	1	1	7	7	0	0	0	0	2	2
"ENSGALG00000010232"	17	17	10	10	4	4	11	11	4	4	12	12
"ENSGALG00000010299"	143	143	132	132	136	136	0	0	1	1	1	1
"ENSGALG00000010309"	104	104	104	104	52	52	19	19	22	22	24	24
"ENSGALG00000010436"	58	58	0	0	53	53	1	1	1	1	0	0
"ENSGALG00000010457"	22	22	48	48	30	30	6	6	8	8	8	8
"ENSGALG00000010792"	187	187	449	449	273	273	10	10	31	31	13	13
"ENSGALG00000010803"	27	27	9	9	33	33	7	7	0	0	3	3
"ENSGALG00000010822"	33	33	96	96	40	40	8	8	31	31	26	26
"ENSGALG00000010825"	0	0	0	0	4	4	3	3	6	6	3	3
"ENSGALG00000010866"	60	60	80	80	44	44	1	1	2	2	5	5
"ENSGALG00000010868"	0	0	0	0	1	1	0	0	1	1	0	0
"ENSGALG00000010936"	7	7	3	3	5	5	3	3	6	6	5	5
"ENSGALG00000010939"	3523	3523	4569	4569	3863	3863	56	56	206	206	140	140
"ENSGALG00000010949"	20	20	57	57	35	35	0	0	8	8	2	2
"ENSGALG00000010980"	88	88	123	123	16	16	1	1	0	0	8	8
"ENSGALG00000011052"	6	6	17	17	0	0	5	5	0	0	1	1
"ENSGALG00000011076"	77	77	126	126	15	15	142	142	120	120	45	45
"ENSGALG00000011093"	126	126	102	102	109	109	1	1	9	9	5	5
"ENSGALG00000011189"	45	45	64	64	37	37	39	39	48	48	38	38
"ENSGALG00000011243"	18	18	13	13	31	31	8	8	0	0	6	6
"ENSGALG00000011287"	14	14	19	19	9	9	1	1	67	67	1	1
"ENSGALG00000011322"	37	37	52	52	27	27	9	9	13	13	4	4
"ENSGALG00000011349"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000011358"	65	65	71	71	61	61	9	9	0	0	3	3
"ENSGALG00000011551"	114	114	1293	1293	58	58	4	4	383	383	30	30
"ENSGALG00000011615"	34	34	3	3	15	15	16	16	9	9	6	6
"ENSGALG00000011684"	15	15	31	31	19	19	2	2	5	5	11	11
"ENSGALG00000011722"	3	3	2	2	1	1	1	1	6	6	1	1
"ENSGALG00000011742"	79	79	54	54	67	67	27	27	6	6	4	4
"ENSGALG00000011930"	2	2	0	0	0	0	8	8	8	8	8	8
"ENSGALG00000012005"	7	7	5	5	6	6	2	2	2	2	1	1
"ENSGALG00000012100"	63	63	73	73	42	42	4	4	11	11	13	13
"ENSGALG00000012490"	98	98	111	111	54	54	13	13	35	35	20	20
"ENSGALG00000012522"	3489	3489	5677	5677	2409	2409	73	73	54	54	25	25
"ENSGALG00000012555"	106	106	99	99	70	70	9	9	5	5	8	8
"ENSGALG00000012588"	119	119	86	86	88	88	90	90	96	96	72	72
"ENSGALG00000012770"	105	105	176	176	85	85	9	9	4	4	2	2
"ENSGALG00000012875"	19	19	34	34	16	16	13	13	6	6	18	18
"ENSGALG00000012997"	231	231	146	146	68	68	2	2	3	3	0	0
"ENSGALG00000013006"	107	107	19	19	36	36	10	10	17	17	3	3
"ENSGALG00000013083"	22	22	57	57	13	13	0	0	2	2	2	2
"ENSGALG00000013084"	9	9	5	5	8	8	0	0	0	0	0	0
"ENSGALG00000013221"	13	13	6	6	18	18	1	1	2	2	0	0
"ENSGALG00000013223"	9	9	13	13	2	2	1220	1220	554	554	505	505
"ENSGALG00000013247"	41	41	26	26	34	34	3	3	3	3	15	15
"ENSGALG00000013281"	165	165	114	114	128	128	14	14	1	1	17	17
"ENSGALG00000013287"	18	18	13	13	6	6	1	1	0	0	3	3
"ENSGALG00000013294"	219	219	157	157	81	81	0	0	0	0	11	11
"ENSGALG00000013575"	6	6	110	110	369	369	24	24	746	746	1381	1381
"ENSGALG00000013634"	1	1	0	0	0	0	1057	1057	1155	1155	1103	1103
"ENSGALG00000013640"	184261	184261	40663	40663	76726	76726	41	41	117	117	73	73
