"brain__day0"	"brain__day0"	"brain__day155"	"brain__day155"	"brain__day70"	"brain__day70"	"heart__day0"	"heart__day0"	"heart__day155"	"heart__day155"	"heart__day70"	"heart__day70"
"ENSGALG00000034198"	33	33	17	17	28	28	111	111	25	25	33	33
"ENSGALG00000034212"	159	159	74	74	105	105	0	0	1	1	0	0
"ENSGALG00000034265"	12	12	19	19	23	23	5	5	2	2	17	17
"ENSGALG00000034424"	26	26	40	40	20	20	6	6	18	18	14	14
"ENSGALG00000034427"	20	20	86	86	92	92	16	16	17	17	18	18
"ENSGALG00000034436"	0	0	1	1	0	0	3	3	7	7	1	1
"ENSGALG00000034474"	1	1	0	0	2	2	0	0	2	2	1	1
"ENSGALG00000034580"	2	2	3	3	3	3	0	0	0	0	2	2
"ENSGALG00000035115"	5	5	11	11	26	26	40	40	37	37	38	38
"ENSGALG00000035134"	316	316	351	351	278	278	285	285	290	290	321	321
"ENSGALG00000035136"	5	5	3	3	9	9	0	0	0	0	1	1
"ENSGALG00000035185"	1201	1201	929	929	1065	1065	58	58	93	93	134	134
"ENSGALG00000035228"	150	150	80	80	59	59	58	58	14	14	16	16
"ENSGALG00000035309"	3	3	0	0	0	0	17	17	5	5	1	1
"ENSGALG00000035350"	2	2	1	1	4	4	0	0	0	0	3	3
"ENSGALG00000035393"	0	0	0	0	0	0	113	113	302	302	107	107
"ENSGALG00000035565"	1	1	0	0	0	0	3	3	0	0	1	1
"ENSGALG00000035594"	3	3	10	10	3	3	23480	23480	2428	2428	263	263
"ENSGALG00000035595"	5	5	1	1	0	0	1	1	0	0	0	0
"ENSGALG00000035675"	225	225	269	269	152	152	10	10	3	3	7	7
"ENSGALG00000035803"	2	2	0	0	1	1	88	88	123	123	457	457
"ENSGALG00000036110"	14	14	43	43	12	12	9	9	4	4	4	4
"ENSGALG00000036140"	22	22	56	56	53	53	11	11	76	76	51	51
"ENSGALG00000036160"	7	7	11	11	3	3	0	0	3	3	1	1
"ENSGALG00000036190"	0	0	0	0	0	0	0	0	4	4	0	0
"ENSGALG00000036346"	57	57	31	31	41	41	26	26	49	49	93	93
"ENSGALG00000036373"	374	374	325	325	262	262	0	0	2	2	1	1
"ENSGALG00000036390"	292	292	303	303	499	499	161	161	178	178	255	255
"ENSGALG00000036504"	0	0	4	4	0	0	0	0	0	0	0	0
"ENSGALG00000036582"	34	34	29	29	19	19	44	44	67	67	26	26
"ENSGALG00000036710"	199	199	578	578	92	92	0	0	1	1	0	0
"ENSGALG00000036796"	44	44	26	26	35	35	176	176	48	48	85	85
"ENSGALG00000037070"	0	0	0	0	0	0	1	1	0	0	5	5
"ENSGALG00000037307"	100	100	87	87	113	113	11	11	9	9	10	10
"ENSGALG00000037352"	156	156	0	0	226	226	0	0	1	1	0	0
"ENSGALG00000037464"	38	38	49	49	21	21	3	3	24	24	3	3
"ENSGALG00000037576"	6	6	5	5	11	11	2	2	2	2	1	1
"ENSGALG00000037777"	1	1	0	0	1	1	9	9	0	0	6	6
"ENSGALG00000037810"	46	46	81	81	51	51	0	0	0	0	1	1
"ENSGALG00000037864"	5	5	11	11	1	1	123	123	4	4	6	6
"ENSGALG00000037878"	0	0	0	0	0	0	0	0	1	1	2	2
"ENSGALG00000037992"	2	2	3	3	2	2	2	2	1	1	4	4
"ENSGALG00000037997"	160	160	54	54	71	71	5	5	5	5	1	1
"ENSGALG00000038034"	0	0	19	19	0	0	5	5	4	4	4	4
"ENSGALG00000038231"	59	59	23	23	41	41	4	4	2	2	2	2
"ENSGALG00000038254"	5	5	1	1	7	7	0	0	0	0	4	4
"ENSGALG00000038576"	130	130	279	279	392	392	1	1	0	0	0	0
"ENSGALG00000038645"	91	91	41	41	44	44	0	0	2	2	1	1
"ENSGALG00000038940"	2	2	2	2	3	3	1	1	0	0	2	2
"ENSGALG00000039159"	1	1	0	0	1	1	2	2	3	3	0	0
"ENSGALG00000039187"	0	0	0	0	1	1	129	129	21	21	66	66
"ENSGALG00000039617"	7	7	5	5	1	1	3	3	4	4	3	3
"ENSGALG00000039742"	3	3	0	0	2	2	68	68	5	5	28	28
"ENSGALG00000039764"	0	0	0	0	0	0	0	0	1	1	0	0
"ENSGALG00000039887"	21	21	15	15	36	36	56	56	40	40	67	67
"ENSGALG00000040021"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000040026"	17	17	21	21	14	14	25	25	14	14	16	16
"ENSGALG00000040045"	19	19	1	1	1	1	1	1	0	0	1	1
"ENSGALG00000040069"	30	30	0	0	64	64	0	0	0	0	0	0
"ENSGALG00000040307"	23	23	17	17	19	19	6	6	2	2	2	2
"ENSGALG00000040415"	13	13	22	22	21	21	14657	14657	21670	21670	18128	18128
"ENSGALG00000040532"	633	633	239	239	305	305	0	0	4	4	0	0
"ENSGALG00000040709"	43	43	26	26	11	11	1	1	1	1	0	0
"ENSGALG00000040773"	114	114	98	98	110	110	32	32	32	32	24	24
"ENSGALG00000040869"	5	5	3	3	14	14	4	4	91	91	50	50
"ENSGALG00000040923"	84	84	40	40	37	37	13	13	19	19	9	9
"ENSGALG00000040959"	348	348	670	670	207	207	3	3	14	14	7	7
"ENSGALG00000041043"	1	1	0	0	0	0	354	354	52	52	99	99
"ENSGALG00000041143"	0	0	2	2	0	0	1	1	0	0	0	0
"ENSGALG00000041222"	0	0	1	1	0	0	0	0	11	11	1	1
"ENSGALG00000041295"	70	70	2	2	113	113	0	0	2	2	0	0
"ENSGALG00000041407"	14	14	5	5	11	11	2	2	7	7	20	20
"ENSGALG00000041435"	12	12	18	18	13	13	17	17	32	32	25	25
"ENSGALG00000041688"	6	6	14	14	13	13	0	0	2	2	6	6
"ENSGALG00000041708"	120	120	206	206	98	98	17	17	11	11	19	19
"ENSGALG00000041882"	35	35	29	29	12	12	13	13	14	14	5	5
"ENSGALG00000041918"	46	46	20	20	93	93	0	0	0	0	0	0
"ENSGALG00000042279"	68	68	43	43	60	60	7	7	14	14	8	8
"ENSGALG00000042548"	151	151	114	114	95	95	21	21	7	7	12	12
"ENSGALG00000042577"	286	286	244	244	110	110	2	2	1	1	4	4
"ENSGALG00000042584"	61	61	54	54	46	46	0	0	0	0	0	0
"ENSGALG00000042664"	1238	1238	161	161	678	678	5	5	16	16	10	10
"ENSGALG00000042705"	79	79	62	62	82	82	0	0	0	0	0	0
"ENSGALG00000042748"	138	138	139	139	247	247	16	16	5	5	33	33
"ENSGALG00000042944"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000043021"	48	48	18	18	56	56	23	23	40	40	39	39
"ENSGALG00000043217"	43	43	1	1	141	141	0	0	0	0	0	0
"ENSGALG00000043415"	4	4	17	17	6	6	3	3	3	3	2	2
"ENSGALG00000043569"	322	322	370	370	504	504	47	47	31	31	84	84
"ENSGALG00000043650"	0	0	6	6	1	1	1	1	9	9	8	8
"ENSGALG00000043806"	220	220	164	164	116	116	38	38	19	19	35	35
"ENSGALG00000043861"	21	21	11	11	18	18	2	2	2	2	1	1
"ENSGALG00000043885"	148	148	151	151	108	108	2	2	0	0	6	6
"ENSGALG00000043904"	48	48	292	292	30	30	1	1	1	1	0	0
"ENSGALG00000043926"	133	133	146	146	141	141	62	62	37	37	53	53
"ENSGALG00000043976"	236	236	131	131	186	186	0	0	1	1	1	1
"ENSGALG00000044026"	0	0	9	9	5	5	0	0	37	37	2	2
"ENSGALG00000044070"	48	48	33	33	44	44	0	0	0	0	0	0
"ENSGALG00000044224"	283	283	246	246	275	275	36	36	38	38	56	56
"ENSGALG00000044225"	27	27	12	12	15	15	0	0	1	1	0	0
"ENSGALG00000044263"	85	85	28	28	42	42	0	0	0	0	2	2
"ENSGALG00000044279"	13	13	13	13	8	8	79	79	51	51	121	121
"ENSGALG00000044299"	96	96	99	99	64	64	137	137	90	90	60	60
"ENSGALG00000044387"	1	1	0	0	0	0	4	4	6	6	5	5
"ENSGALG00000044478"	102	102	59	59	109	109	0	0	0	0	0	0
"ENSGALG00000044479"	41	41	26	26	36	36	3	3	5	5	9	9
"ENSGALG00000044510"	0	0	0	0	0	0	0	0	2	2	1	1
"ENSGALG00000044610"	132	132	50	50	70	70	20	20	20	20	15	15
"ENSGALG00000044632"	18	18	13	13	10	10	76	76	67	67	92	92
"ENSGALG00000044733"	3	3	6	6	3	3	1	1	5	5	0	0
"ENSGALG00000044739"	0	0	1	1	0	0	0	0	0	0	0	0
"ENSGALG00000044811"	2	2	0	0	0	0	8	8	141	141	93	93
"ENSGALG00000045037"	34	34	40	40	21	21	7	7	26	26	2	2
"ENSGALG00000045085"	74	74	444	444	1147	1147	15	15	1777	1777	478	478
"ENSGALG00000045093"	277	277	209	209	189	189	195	195	103	103	62	62
"ENSGALG00000045232"	63	63	74	74	48	48	10	10	23	23	11	11
"ENSGALG00000045235"	1	1	0	0	4	4	0	0	0	0	0	0
"ENSGALG00000045414"	13	13	22	22	7	7	0	0	0	0	12	12
"ENSGALG00000045499"	89	89	136	136	75	75	19	19	4	4	4	4
"ENSGALG00000045608"	5	5	5	5	1	1	5	5	0	0	3	3
"ENSGALG00000045612"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000045729"	34	34	21	21	22	22	24	24	56	56	13	13
"ENSGALG00000045762"	144	144	46	46	332	332	1	1	4	4	1	1
"ENSGALG00000045792"	39	39	23	23	18	18	1	1	0	0	0	0
"ENSGALG00000045817"	40	40	16	16	42	42	16	16	3	3	7	7
"ENSGALG00000045889"	1	1	2	2	0	0	0	0	0	0	0	0
"ENSGALG00000045947"	1	1	1	1	0	0	0	0	0	0	2	2
"ENSGALG00000045994"	0	0	0	0	1	1	0	0	0	0	2	2
"ENSGALG00000046008"	234	234	240	240	122	122	7	7	0	0	6	6
"ENSGALG00000046009"	6	6	5	5	0	0	2	2	1	1	5	5
"ENSGALG00000046141"	156	156	39	39	121	121	1	1	3	3	0	0
"ENSGALG00000046160"	9	9	6	6	5	5	5	5	2	2	1	1
"ENSGALG00000046180"	9	9	10	10	1	1	7	7	6	6	5	5
"ENSGALG00000046217"	0	0	0	0	0	0	0	0	164	164	5	5
"ENSGALG00000046262"	38	38	57	57	58	58	10	10	32	32	22	22
"ENSGALG00000046316"	52	52	34	34	63	63	46	46	33	33	162	162
"ENSGALG00000046331"	0	0	0	0	0	0	0	0	2	2	0	0
"ENSGALG00000046384"	18	18	14	14	31	31	1	1	1	1	2	2
"ENSGALG00000046409"	1	1	12	12	2	2	0	0	11	11	1	1
"ENSGALG00000046479"	7	7	7	7	10	10	1	1	0	0	1	1
"ENSGALG00000046553"	5	5	2	2	2	2	0	0	1	1	0	0
"ENSGALG00000046757"	1	1	1	1	0	0	5	5	1	1	2	2
"ENSGALG00000046774"	9	9	6	6	18	18	0	0	0	0	0	0
"ENSGALG00000046789"	0	0	1	1	0	0	15	15	0	0	0	0
"ENSGALG00000046942"	7	7	8	8	4	4	7	7	2	2	4	4
"ENSGALG00000046974"	5	5	11	11	14	14	0	0	2	2	1	1
"ENSGALG00000047043"	190	190	362	362	223	223	274	274	807	807	329	329
"ENSGALG00000047057"	12	12	11	11	12	12	15	15	4	4	23	23
"ENSGALG00000047107"	26	26	0	0	6	6	0	0	0	0	0	0
"ENSGALG00000047196"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000047199"	1	1	0	0	0	0	3	3	46	46	0	0
"ENSGALG00000047255"	6	6	14	14	7	7	2	2	0	0	1	1
"ENSGALG00000047265"	32	32	53	53	37	37	62	62	129	129	81	81
"ENSGALG00000047367"	1	1	4	4	0	0	1	1	0	0	1	1
"ENSGALG00000047376"	0	0	1	1	0	0	2	2	2	2	0	0
"ENSGALG00000047398"	0	0	0	0	1	1	0	0	0	0	1	1
"ENSGALG00000047426"	17	17	2	2	7	7	15	15	11	11	27	27
"ENSGALG00000047489"	20	20	17	17	8	8	1	1	4	4	3	3
"ENSGALG00000047529"	1	1	0	0	1	1	0	0	1	1	1	1
"ENSGALG00000047550"	17	17	20	20	14	14	4	4	5	5	18	18
"ENSGALG00000047592"	153	153	47	47	132	132	10	10	2	2	8	8
"ENSGALG00000047620"	42	42	16	16	32	32	1	1	6	6	0	0
"ENSGALG00000047637"	6	6	1	1	1	1	1	1	1	1	1	1
"ENSGALG00000047681"	37	37	6	6	27	27	2	2	0	0	0	0
"ENSGALG00000047684"	15	15	15	15	15	15	2	2	1	1	1	1
"ENSGALG00000047694"	86	86	88	88	80	80	0	0	1	1	2	2
"ENSGALG00000047701"	10	10	2	2	1	1	1	1	0	0	1	1
"ENSGALG00000047807"	0	0	0	0	1	1	0	0	13	13	0	0
"ENSGALG00000047906"	0	0	0	0	0	0	0	0	0	0	2	2
"ENSGALG00000047937"	2	2	5	5	2	2	0	0	0	0	0	0
"ENSGALG00000048026"	0	0	0	0	1	1	2	2	2	2	4	4
"ENSGALG00000048040"	0	0	1	1	0	0	0	0	0	0	0	0
"ENSGALG00000048055"	0	0	0	0	0	0	0	0	1	1	0	0
"ENSGALG00000048096"	2	2	0	0	0	0	1	1	0	0	5	5
"ENSGALG00000048129"	2	2	10	10	3	3	5	5	11	11	1	1
"ENSGALG00000048184"	7	7	20	20	33	33	30	30	11	11	123	123
"ENSGALG00000048241"	17	17	4	4	9	9	0	0	0	0	0	0
"ENSGALG00000048357"	88	88	107	107	43	43	0	0	0	0	1	1
"ENSGALG00000048373"	0	0	12	12	3	3	1	1	0	0	0	0
"ENSGALG00000048425"	32	32	58	58	31	31	5	5	27	27	7	7
"ENSGALG00000048461"	22	22	23	23	15	15	4	4	0	0	0	0
"ENSGALG00000048578"	6	6	4	4	2	2	0	0	1	1	4	4
"ENSGALG00000048648"	6	6	9	9	4	4	4	4	4	4	20	20
"ENSGALG00000048664"	1	1	28	28	3	3	0	0	5	5	0	0
"ENSGALG00000048719"	3	3	2	2	0	0	0	0	0	0	0	0
"ENSGALG00000048724"	0	0	8	8	1	1	0	0	0	0	3	3
"ENSGALG00000048737"	6	6	8	8	5	5	6	6	4	4	2	2
"ENSGALG00000048772"	2	2	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000048800"	47	47	64	64	13	13	2	2	8	8	4	4
"ENSGALG00000048815"	0	0	8	8	2	2	0	0	3	3	0	0
"ENSGALG00000048882"	1	1	1	1	1	1	82	82	46	46	82	82
"ENSGALG00000048957"	7	7	8	8	3	3	12	12	341	341	86	86
"ENSGALG00000048975"	11	11	12	12	9	9	1	1	2	2	1	1
"ENSGALG00000048978"	1	1	0	0	0	0	1	1	0	0	1	1
"ENSGALG00000049045"	8	8	14	14	18	18	0	0	0	0	0	0
"ENSGALG00000049081"	6	6	3	3	1	1	2	2	1	1	5	5
"ENSGALG00000049191"	106	106	24	24	34	34	1	1	0	0	0	0
"ENSGALG00000049199"	5	5	7	7	11	11	2	2	32	32	33	33
"ENSGALG00000049230"	5	5	5	5	125	125	8	8	23	23	19	19
"ENSGALG00000049260"	37	37	14	14	6	6	4	4	1	1	7	7
"ENSGALG00000049408"	30	30	18	18	19	19	10	10	16	16	58	58
"ENSGALG00000049414"	7	7	10	10	9	9	3	3	154	154	5	5
"ENSGALG00000049450"	9	9	932	932	26	26	1	1	379	379	38	38
"ENSGALG00000049455"	9	9	14	14	18	18	0	0	3	3	2	2
"ENSGALG00000049504"	21	21	4	4	35	35	869	869	1185	1185	2301	2301
"ENSGALG00000049534"	2	2	5	5	0	0	11	11	7	7	5	5
"ENSGALG00000049567"	7	7	1	1	1	1	9	9	2	2	3	3
"ENSGALG00000049598"	0	0	0	0	0	0	2	2	3	3	10	10
"ENSGALG00000049616"	17	17	18	18	36	36	20	20	8	8	20	20
"ENSGALG00000049622"	227	227	354	354	100	100	101	101	288	288	109	109
"ENSGALG00000049649"	11	11	5	5	4	4	1	1	1	1	0	0
"ENSGALG00000049686"	12	12	5	5	29	29	32	32	10	10	84	84
"ENSGALG00000049716"	0	0	63	63	2	2	0	0	46	46	6	6
"ENSGALG00000049746"	32	32	29	29	46	46	1	1	3	3	2	2
"ENSGALG00000049755"	7	7	3	3	5	5	4	4	7	7	7	7
"ENSGALG00000049806"	52	52	40	40	48	48	1	1	1	1	3	3
"ENSGALG00000049973"	1	1	0	0	1	1	0	0	3	3	0	0
"ENSGALG00000049974"	11	11	10	10	8	8	4	4	8	8	8	8
"ENSGALG00000050024"	2	2	0	0	3	3	20	20	18	18	11	11
"ENSGALG00000050025"	10	10	21	21	1	1	0	0	0	0	0	0
"ENSGALG00000050083"	7	7	10	10	6	6	0	0	1	1	5	5
"ENSGALG00000050084"	18	18	18	18	13	13	20	20	4	4	3	3
"ENSGALG00000050097"	2	2	0	0	0	0	2	2	1	1	0	0
"ENSGALG00000050108"	2	2	1	1	1	1	0	0	0	0	1	1
"ENSGALG00000050141"	1	1	0	0	0	0	7	7	7	7	4	4
"ENSGALG00000050160"	2	2	0	0	0	0	8	8	13	13	20	20
"ENSGALG00000050161"	4	4	0	0	3	3	0	0	0	0	0	0
"ENSGALG00000050165"	2	2	1	1	2	2	0	0	0	0	0	0
"ENSGALG00000050270"	0	0	1	1	0	0	11	11	2	2	3	3
"ENSGALG00000050290"	33	33	17	17	10	10	3	3	2	2	10	10
"ENSGALG00000050298"	0	0	2	2	3	3	1	1	17	17	4	4
"ENSGALG00000050318"	0	0	14	14	0	0	0	0	1	1	1	1
"ENSGALG00000050404"	31	31	51	51	24	24	10	10	6	6	5	5
"ENSGALG00000050440"	1	1	0	0	1	1	0	0	2	2	1	1
"ENSGALG00000050515"	0	0	401	401	11	11	0	0	158	158	16	16
"ENSGALG00000050556"	14	14	9	9	7	7	4	4	3	3	2	2
"ENSGALG00000050573"	0	0	1	1	3	3	0	0	2	2	0	0
"ENSGALG00000050627"	1	1	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000050714"	0	0	0	0	1	1	0	0	0	0	0	0
"ENSGALG00000050751"	0	0	1	1	0	0	0	0	0	0	0	0
"ENSGALG00000050806"	1	1	0	0	2	2	0	0	49	49	1	1
"ENSGALG00000050812"	14	14	67	67	16	16	0	0	6	6	5	5
"ENSGALG00000050815"	11	11	5	5	2	2	0	0	1	1	2	2
"ENSGALG00000050851"	3	3	1	1	0	0	0	0	0	0	0	0
"ENSGALG00000050872"	17	17	24	24	10	10	36	36	5	5	7	7
"ENSGALG00000050941"	3	3	0	0	0	0	2	2	0	0	2	2
"ENSGALG00000050945"	2	2	0	0	0	0	0	0	0	0	2	2
"ENSGALG00000050978"	40	40	29	29	31	31	0	0	1	1	3	3
"ENSGALG00000050996"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000051018"	12	12	20	20	4	4	0	0	0	0	0	0
"ENSGALG00000051202"	49	49	40	40	28	28	47	47	8	8	4	4
"ENSGALG00000051247"	0	0	7	7	75	75	0	0	0	0	1	1
"ENSGALG00000051283"	0	0	0	0	0	0	9	9	7	7	11	11
"ENSGALG00000051328"	3	3	1	1	2	2	0	0	1	1	0	0
"ENSGALG00000051351"	1	1	0	0	3	3	14	14	0	0	2	2
"ENSGALG00000051371"	3	3	0	0	3	3	0	0	0	0	0	0
"ENSGALG00000051409"	0	0	0	0	1	1	0	0	0	0	0	0
"ENSGALG00000051425"	8	8	60	60	16	16	0	0	0	0	0	0
"ENSGALG00000051580"	253	253	11	11	2	2	0	0	0	0	2	2
"ENSGALG00000051639"	11	11	27	27	25	25	12	12	15	15	15	15
"ENSGALG00000051704"	0	0	2	2	0	0	34	34	17	17	37	37
"ENSGALG00000051746"	0	0	0	0	0	0	0	0	2	2	1	1
"ENSGALG00000051776"	1	1	0	0	0	0	2769	2769	855	855	175	175
"ENSGALG00000051831"	198	198	118	118	99	99	31	31	28	28	11	11
"ENSGALG00000051843"	4	4	2	2	6	6	5	5	0	0	3	3
"ENSGALG00000051844"	4	4	0	0	3	3	1	1	0	0	0	0
"ENSGALG00000051852"	37	37	33	33	17	17	5	5	32	32	20	20
"ENSGALG00000051882"	3	3	3	3	10	10	35	35	53	53	72	72
"ENSGALG00000051891"	0	0	0	0	0	0	0	0	3	3	0	0
"ENSGALG00000051899"	0	0	5	5	5	5	1	1	14	14	4	4
"ENSGALG00000051940"	2	2	1	1	1	1	2	2	2	2	0	0
"ENSGALG00000052007"	28	28	25	25	20	20	0	0	0	0	1	1
"ENSGALG00000052012"	117	117	190	190	61	61	46	46	169	169	64	64
"ENSGALG00000052099"	5	5	2	2	1	1	0	0	2	2	6	6
"ENSGALG00000052100"	0	0	0	0	1	1	60	60	0	0	6	6
"ENSGALG00000052108"	8	8	0	0	4	4	27	27	0	0	232	232
"ENSGALG00000052112"	2	2	5	5	1	1	2	2	1	1	0	0
"ENSGALG00000052144"	0	0	3	3	2	2	4	4	49	49	13	13
"ENSGALG00000052148"	7	7	5	5	2	2	2	2	6	6	17	17
"ENSGALG00000052214"	10	10	5	5	5	5	2	2	1	1	2	2
"ENSGALG00000052237"	7	7	5	5	5	5	4	4	0	0	1	1
"ENSGALG00000052243"	0	0	0	0	0	0	1	1	4	4	1	1
"ENSGALG00000052252"	49	49	36	36	27	27	3	3	9	9	3	3
"ENSGALG00000052307"	244	244	334	334	282	282	2	2	1	1	0	0
"ENSGALG00000052332"	0	0	1	1	1	1	5	5	12	12	4	4
"ENSGALG00000052452"	0	0	0	0	1	1	0	0	2	2	1	1
"ENSGALG00000052505"	0	0	3	3	0	0	0	0	0	0	0	0
"ENSGALG00000052560"	4	4	0	0	0	0	3	3	2	2	0	0
"ENSGALG00000052574"	11	11	21	21	14	14	3	3	10	10	17	17
"ENSGALG00000052582"	144	144	325	325	147	147	0	0	0	0	0	0
"ENSGALG00000052716"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000052741"	0	0	0	0	0	0	352	352	283	283	30	30
"ENSGALG00000052859"	34	34	35	35	9	9	1	1	1	1	1	1
"ENSGALG00000052887"	1	1	0	0	0	0	0	0	1	1	0	0
"ENSGALG00000052892"	1	1	2	2	0	0	0	0	0	0	2	2
"ENSGALG00000052962"	2	2	0	0	0	0	2	2	1	1	2	2
"ENSGALG00000052964"	1	1	0	0	0	0	3	3	3	3	1	1
"ENSGALG00000052997"	4	4	3	3	1	1	8	8	3	3	14	14
"ENSGALG00000053055"	11	11	21	21	11	11	6	6	1	1	7	7
"ENSGALG00000053296"	17	17	57	57	72	72	16	16	116	116	52	52
"ENSGALG00000053297"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000053390"	55	55	115	115	4	4	3	3	3	3	4	4
"ENSGALG00000053405"	9	9	31	31	39	39	2	2	1	1	3	3
"ENSGALG00000053416"	12	12	16	16	19	19	5	5	10	10	10	10
"ENSGALG00000053419"	2	2	1	1	0	0	9	9	3	3	1	1
"ENSGALG00000053422"	32	32	10	10	10	10	52	52	14	14	10	10
"ENSGALG00000053493"	49	49	425	425	56	56	2	2	1	1	8	8
"ENSGALG00000053504"	0	0	0	0	0	0	2	2	1	1	0	0
"ENSGALG00000053548"	0	0	0	0	0	0	2	2	2	2	1	1
"ENSGALG00000053560"	53	53	48	48	41	41	0	0	1	1	1	1
"ENSGALG00000053561"	6	6	3	3	3	3	2	2	3	3	2	2
"ENSGALG00000053565"	27	27	9	9	23	23	14	14	3	3	9	9
"ENSGALG00000053574"	50	50	66	66	26	26	8	8	1	1	11	11
"ENSGALG00000053578"	88	88	102	102	49	49	18	18	6	6	6	6
"ENSGALG00000053584"	0	0	3	3	0	0	2	2	1	1	3	3
"ENSGALG00000053633"	1	1	0	0	2	2	1	1	0	0	2	2
"ENSGALG00000053643"	3	3	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000053667"	71	71	118	118	132	132	13	13	34	34	66	66
"ENSGALG00000053683"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000053690"	2	2	4	4	1	1	7	7	11	11	8	8
"ENSGALG00000053724"	0	0	2	2	6	6	11	11	530	530	251	251
"ENSGALG00000053725"	6	6	4	4	11	11	3	3	1	1	0	0
"ENSGALG00000053771"	1	1	0	0	1	1	2	2	0	0	1	1
"ENSGALG00000053829"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000053843"	0	0	0	0	0	0	0	0	1	1	1	1
"ENSGALG00000053844"	13	13	5	5	3	3	4	4	5	5	5	5
"ENSGALG00000053886"	17	17	9	9	8	8	18	18	7	7	5	5
"ENSGALG00000053919"	71	71	61	61	129	129	0	0	3	3	0	0
"ENSGALG00000053935"	50	50	48	48	87	87	0	0	6	6	3	3
"ENSGALG00000053938"	1	1	2	2	1	1	2	2	3	3	2	2
"ENSGALG00000053941"	112	112	72	72	23	23	7	7	1	1	14	14
"ENSGALG00000054024"	33	33	68	68	54	54	0	0	0	0	0	0
"ENSGALG00000054033"	0	0	1	1	0	0	8	8	6	6	2	2
"ENSGALG00000054136"	0	0	0	0	0	0	1	1	2	2	3	3
"ENSGALG00000054369"	15	15	9	9	4	4	9	9	0	0	1	1
"ENSGALG00000054371"	1	1	2	2	0	0	1	1	1	1	0	0
"ENSGALG00000054378"	34	34	18	18	32	32	25	25	15	15	17	17
"ENSGALG00000054427"	24	24	12	12	24	24	0	0	0	0	0	0
"ENSGALG00000054442"	0	0	0	0	0	0	1	1	13	13	6	6
"ENSGALG00000054534"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSGALG00000054558"	8	8	10	10	8	8	0	0	0	0	1	1
"ENSGALG00000054583"	23	23	12	12	24	24	44	44	24	24	28	28
"ENSGALG00000054606"	0	0	1	1	1	1	1	1	0	0	0	0
"ENSGALG00000054628"	2	2	0	0	1	1	1	1	0	0	1	1
"ENSGALG00000054672"	36	36	0	0	113	113	0	0	0	0	7	7
"ENSGALG00000054685"	15	15	2	2	13	13	0	0	3	3	1	1
"ENSGALG00000054787"	14	14	8	8	2	2	8	8	8	8	3	3
"ENSGALG00000054794"	12	12	7	7	5	5	2	2	2	2	2	2
"ENSGALG00000054800"	0	0	2	2	0	0	0	0	0	0	0	0
"ENSGALG00000054837"	0	0	0	0	0	0	27	27	94	94	46	46
"ENSGALG00000054851"	218	218	9	9	2	2	0	0	0	0	1	1
"ENSGALG00000054926"	1	1	1	1	4	4	0	0	2	2	0	0
"ENSGALG00000054927"	3	3	4	4	9	9	2	2	0	0	0	0
"ENSGALG00000054981"	0	0	1	1	1	1	0	0	85	85	1	1
"ENSGALG00000054986"	9	9	9	9	13	13	19	19	24	24	16	16
"ENSGALG00000055023"	4	4	1	1	0	0	0	0	0	0	0	0
"ENSGALG00000055039"	1	1	0	0	0	0	1	1	10	10	2	2
