"cell"	"cluster"
"133"	"C1.1772096.084.C06"	"clus7"
"134"	"C1.1772092.008.B12"	"clus7"
"135"	"C1.1772099.092.F11"	"clus2"
"136"	"C1.1772078.033.A06"	"clus3"
"137"	"C1.1772072.243.A08"	"clus7"
"138"	"C1.1772117.104.D09"	"clus2"
"139"	"C1.1772117.159.G05"	"clus2"
"140"	"C1.1772117.100.C04"	"clus2"
"141"	"C1.1772099.090.H09"	"clus2"
"142"	"C1.1772099.090.D05"	"clus6"
"143"	"C1.1772117.100.D06"	"clus2"
"144"	"C1.1772099.315.D05"	"clus2"
"145"	"C1.1772096.086.D11"	"clus3"
"146"	"C1.1772096.086.B02"	"clus3"
"147"	"C1.1772096.151.H07"	"clus3"
"148"	"C1.1772096.094.E09"	"clus3"
"149"	"C1.1772094.136.C12"	"clus7"
"150"	"C1.1772096.087.A08"	"clus3"
"151"	"C1.1772096.085.G05"	"clus3"
"152"	"C1.1772096.094.G09"	"clus3"
"153"	"C1.1772096.094.F07"	"clus3"
"154"	"C1.1772062.114.F03"	"clus3"
"155"	"C1.1772096.086.E09"	"clus3"
"156"	"C1.1772099.002.H06"	"clus4"
"157"	"C1.1772096.149.A02"	"clus8"
"158"	"C1.1772096.085.D03"	"clus8"
"159"	"C1.1772096.086.C06"	"clus8"
"160"	"C1.1772099.003.D02"	"clus4"
"161"	"C1.1772096.148.E11"	"clus8"
"162"	"C1.1772096.088.F07"	"clus8"
"163"	"C1.1772072.243.H02"	"clus8"
"164"	"C1.1772099.008.F04"	"clus8"
"165"	"C1.1772099.012.H12"	"clus9"
"166"	"C1.1772096.086.D10"	"clus3"
"167"	"C1.1772078.024.E04"	"clus3"
"168"	"C1.1772092.002.B03"	"clus4"
"169"	"C1.1772072.242.B04"	"clus8"
"170"	"C1.1772092.002.H06"	"clus4"
"171"	"C1.1772089.202.A03"	"clus8"
"172"	"C1.1772096.148.G02"	"clus8"
"173"	"C1.1772096.091.F03"	"clus8"
"174"	"C1.1772094.136.E06"	"clus8"
"175"	"C1.1772092.003.E02"	"clus8"
"176"	"C1.1772094.143.F11"	"clus8"
"177"	"C1.1772096.092.E04"	"clus3"
"178"	"C1.1772092.002.H04"	"clus8"
"179"	"C1.1772092.002.D11"	"clus4"
"180"	"C1.1772096.085.G01"	"clus8"
"181"	"C1.1772092.003.A04"	"clus8"
"182"	"C1.1772096.110.D09"	"clus4"
"183"	"C1.1772099.314.E11"	"clus6"
"184"	"C1.1772096.084.D07"	"clus8"
"185"	"C1.1772089.202.F03"	"clus3"
"186"	"C1.1772092.002.G12"	"clus4"
"187"	"C1.1772092.002.C08"	"clus4"
"188"	"C1.1772096.083.E07"	"clus8"
"189"	"C1.1772092.002.E06"	"clus4"
"190"	"C1.1772092.002.C09"	"clus3"
