"x"	"y"	"key"	"desiredSVGBulk"	"dimred"
"1"	4.38942159396342	6.91751003701092	62	"cerebellum"	"PCA"
"2"	4.58687683872796	8.0772067547456	75	"cerebellum"	"PCA"
"3"	6.36618753466731	7.69578238872683	76	"cerebellum"	"PCA"
"4"	6.04718263649861	7.71903728618548	80	"cerebellum"	"PCA"
"5"	2.77062176322107	7.46402386578022	84	"cerebellum"	"PCA"
"6"	6.31139823866717	7.27200247409831	85	"cerebellum"	"PCA"
"7"	2.72354286201863	7.33456706211169	86	"cerebellum"	"PCA"
"8"	5.70523703452169	8.4128567936169	87	"cerebellum"	"PCA"
"9"	4.06500909827563	8.14586020942282	89	"cerebellum"	"PCA"
"10"	3.39793509664623	9.2427407648319	90	"cerebellum"	"PCA"
"11"	4.63787175956704	7.9286517323934	91	"cerebellum"	"PCA"
"12"	6.26890120437568	7.92687033494639	98	"cerebellum"	"PCA"
"13"	6.4124630169035	7.66167330758155	99	"cerebellum"	"PCA"
"14"	4.49808873692716	7.57250202727497	100	"cerebellum"	"PCA"
"15"	3.27762055626475	6.81409418208643	101	"cerebellum"	"PCA"
"16"	5.41420476346194	8.88424124301645	104	"cerebellum"	"PCA"
"17"	6.05608446063917	7.90705101125502	105	"cerebellum"	"PCA"
"18"	3.34457987780996	8.03869891487921	106	"cerebellum"	"PCA"
"19"	6.24235348437543	7.64569715648215	114	"cerebellum"	"PCA"
"20"	3.3711848364797	7.01070737246687	155	"cerebellum"	"PCA"
"21"	5.15754558119331	6.70709331841512	163	"cerebellum"	"PCA"
"22"	5.68068534206406	7.61586183433877	167	"cerebellum"	"PCA"
"23"	5.54330184566147	7.19375623168412	180	"cerebellum"	"PCA"
"24"	3.60963021845612	7.46042398549576	181	"cerebellum"	"PCA"
"25"	4.27561073949209	7.07026229452938	182	"cerebellum"	"PCA"
"26"	6.21974182515897	7.13854955887856	187	"cerebellum"	"PCA"
"27"	5.33317155852964	6.96225610642872	194	"cerebellum"	"PCA"
"28"	4.67542289330428	7.04956125113308	195	"cerebellum"	"PCA"
"29"	5.47869219145419	7.69716267790618	625	"cerebellum"	"PCA"
"30"	4.82411757776086	7.83131106370164	633	"cerebellum"	"PCA"
"31"	5.86935720598888	7.51443610163207	634	"cerebellum"	"PCA"
"32"	5.23648993042965	7.96047661551143	640	"cerebellum"	"PCA"
"33"	5.9272772827976	7.08268574239295	643	"cerebellum"	"PCA"
"34"	4.82712700558394	6.94684306515175	644	"cerebellum"	"PCA"
"35"	6.04727903763813	7.65249254951495	645	"cerebellum"	"PCA"
"36"	5.08777245942029	7.56502239824771	651	"cerebellum"	"PCA"
"37"	6.14272801403736	7.86149298255805	655	"cerebellum"	"PCA"
"38"	5.20097171906934	7.83445573181712	656	"cerebellum"	"PCA"
"39"	4.44175028971471	7.34307991795221	666	"cerebellum"	"PCA"
"40"	4.36062990420732	7.37380051268442	667	"cerebellum"	"PCA"
"41"	6.29880124206486	7.55143967002917	668	"cerebellum"	"PCA"
"42"	4.42742292740051	7.29669328715771	674	"cerebellum"	"PCA"
"43"	3.7282893544361	7.66283285016889	678	"cerebellum"	"PCA"
"44"	6.29124263894075	7.16178446148199	681	"cerebellum"	"PCA"
"45"	4.61236807776188	8.2426237003198	692	"cerebellum"	"PCA"
"46"	2.83901588262547	7.15196089991449	696	"cerebellum"	"PCA"
"47"	5.17973391364933	6.75495775950371	709	"cerebellum"	"PCA"
"48"	5.02934941246434	7.55264687585357	712	"cerebellum"	"PCA"
"49"	5.00161758215974	6.8419036053854	737	"cerebellum"	"PCA"
