"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"	"cerebral.cortex"	"hippocampus"	"hypothalamus"	"cerebellum"
"Ephx4"	23	18	2	13	27	38	6	3	39	21	4	14
"Erc2"	403	779	220	95	412	635	169	197	403	708	287	130
"Etv1"	162	218	14	558	274	203	30	523	170	202	47	874
"Fam107a"	98	145	56	235	119	111	45	237	147	158	100	380
"Fam131a"	518	1102	176	228	705	1289	134	33	655	955	197	410
"Fam163b"	42	154	17	6	70	104	12	2	74	56	28	2
"Fbxl16"	489	769	188	219	704	852	162	74	622	724	227	356
"Fgf13"	49	218	32	13	79	154	28	17	74	110	54	30
"Fnbp1"	94	212	121	489	197	146	122	586	105	144	181	522
"Fndc5"	121	207	81	341	146	190	77	675	130	165	170	547
"Foxg1"	75	200	11	0	157	168	7	1	101	158	37	0
"Fxyd7"	67	36	34	8	58	36	29	4	36	31	36	1
"Gaa"	104	227	404	79	141	183	432	154	132	188	583	110
"Gabra4"	141	207	36	25	193	210	43	62	134	166	76	67
"Gda"	854	952	354	1	1234	750	327	7	932	856	526	4
"Glo1"	126	428	190	204	285	291	230	747	134	162	218	253
"Gng13"	43	58	21	231	95	56	20	306	65	45	35	350
"Gng7"	39	169	19	10	53	128	25	11	22	88	49	11
"Gpr37l1"	133	294	151	435	207	251	171	874	176	195	264	785
"Gprasp2"	211	335	869	161	302	217	758	331	221	309	1158	240
"Gria1"	410	3761	785	888	734	2855	629	1180	736	2515	1148	1589
"Grin2a"	206	712	20	72	310	463	40	85	216	392	59	111
"Grin2b"	1020	2212	311	41	1105	1844	293	78	1022	1323	388	72
"Grm5"	374	865	250	30	430	731	235	27	423	720	379	31
"Hap1"	36	160	567	46	54	75	526	85	76	124	680	48
"Hopx"	14	71	7	111	19	48	16	40	51	66	19	164
"Hpca"	275	1353	75	51	375	1445	94	126	282	999	115	70
"Hpcal4"	484	728	222	32	579	617	210	53	561	665	301	34
"Hs3st4"	133	503	88	4	215	400	84	4	169	345	139	4
"Icam5"	126	428	33	3	172	430	35	2	193	378	41	1
"Id2"	518	470	189	771	1123	540	326	1883	786	572	522	1388
"Ier5"	259	269	49	78	484	261	71	141	664	224	82	116
"Inf2"	105	215	29	42	181	185	30	70	103	125	67	43
"Inpp5a"	74	125	107	873	125	125	125	1920	96	80	204	1275
"Itpka"	78	149	7	30	85	141	8	34	78	97	6	53
"Itpr1"	361	524	85	1983	593	371	96	3184	438	356	205	3102
"Jmjd1c"	84	146	72	399	98	127	70	528	105	132	101	458
"Junb"	154	266	96	54	171	313	50	44	1296	861	270	118
"Kalrn"	759	1337	101	75	1243	1151	111	106	925	937	183	109
"Kcnab2"	176	537	88	74	285	516	82	136	186	363	125	112
"Kcnb1"	292	261	82	23	448	194	77	36	388	200	120	34
"Kcnc1"	369	435	329	1621	485	366	311	2936	315	316	449	1977
