"cerebellum_ALS"	"frontal_cortex_ALS"	"cerebellum_normal"	"frontal_cortex_normal"
"ENSG00000004848"	0.434125878979081	7.64944652647181	0.358875872018524	7.79714531198237
"ENSG00000005001"	6.73694063105628	0.244696207609195	6.26017060962606	0.622513898616443
"ENSG00000006047"	1.13417241082251	5.26296286817748	0.537753414584851	5.35883095075853
"ENSG00000006377"	0.455439537277232	5.26684433414544	0.168797634600809	4.97889587017385
"ENSG00000008196"	7.38648737888298	0.460598590325168	7.64777952732348	0.121287505366432
"ENSG00000009709"	0.298392133014755	6.67803369195203	0.207328762203535	6.6303143689099
"ENSG00000019102"	1.55145054428299	5.59806295954339	1.43984109690574	5.41198324261428
"ENSG00000047936"	0.104163465309746	5.38428038164087	0.832043171915092	5.34332291055556
"ENSG00000050628"	1.00395862551072	6.04657244559803	1.31520860342658	5.45730602784444
"ENSG00000054803"	2.88981241475031	9.21964848079542	2.87230696287932	9.30347782160868
"ENSG00000060140"	1.61145772779351	7.20558210019837	1.21480130489804	6.8930512023599
"ENSG00000065325"	2.18879271229876	6.29202309822107	2.09559712909306	6.21242828113564
"ENSG00000070729"	1.00880276622447	6.57987164801809	1.27472082012116	6.23771421727275
"ENSG00000079931"	2.46796943922528	8.49789023403072	2.474135730345	8.74591051302964
"ENSG00000080644"	8.67811259096986	2.08900840430413	8.29915609741242	1.19667280116995
"ENSG00000081985"	1.15771647943086	5.78610434747937	1.57254121228859	5.62664640359102
"ENSG00000086570"	13.1223996364836	3.66440108752646	13.1041088279022	3.26821790041189
"ENSG00000086717"	1.44829303042748	6.0366475776091	1.71897647513952	6.30009981447984
"ENSG00000089116"	6.21263724203522	0.278288016435874	6.46315794517816	0
"ENSG00000089558"	1.38887978969098	6.06860852976532	1.20387024419746	5.98783630039607
"ENSG00000091137"	1.20161249229986	6.1826755581538	1.32258324317898	5.88089516422268
"ENSG00000091664"	2.62673759694039	8.26191261564858	2.39668918825063	8.2736050367441
"ENSG00000092295"	5.14891463041673	2.03339825445176	5.656918391586	1.72088488467571
"ENSG00000095932"	1.08675415025076	6.0787870651265	1.54913834782338	6.31575575987055
"ENSG00000101188"	0.744345425434702	5.31886861843505	0.419532250051247	5.40445607554228
"ENSG00000102837"	1.94734249445611	5.15579553811324	0.808920711613267	4.99038354551782
"ENSG00000103310"	8.32754819057006	0.3291589975913	8.75539260303717	0.161785947551868
"ENSG00000103569"	0.682473477626508	5.5259473394404	1.07545491377949	5.11522181420365
"ENSG00000105376"	1.11431602025312	9.99589591676476	1.02536862457445	9.98124629422435
"ENSG00000105641"	5.42385917843142	1.560846207263	5.72263626278704	1.72936349131927
"ENSG00000105664"	5.11851345851086	0.235349275476794	5.00700725371351	0.139309315150777
"ENSG00000105880"	0.37490519277875	5.23552954090846	0.399827872589288	5.31030761097137
"ENSG00000106113"	2.03102434790046	5.9438737747528	1.30543356643874	5.94431160369303
"ENSG00000106648"	0.0899437857278029	5.4900952266353	0	5.70226601884026
"ENSG00000106689"	1.24805646684927	9.24817731403846	1.89352228238609	9.43861747585419
"ENSG00000107159"	6.99309660218539	1.73840281003456	7.97306441037642	2.07687419486192
"ENSG00000107165"	1.01365851333953	5.06772752659961	0.559044243543924	4.91339047622286
"ENSG00000107593"	0.30819474329319	5.13709954991625	0	4.94559677559194
"ENSG00000108001"	5.52665277097629	2.00195860536368	5.04665706427224	1.5257376462088
"ENSG00000109943"	11.548079448551	3.31286316666723	11.5650607796202	2.57332236014704
"ENSG00000110887"	10.6530064430042	2.19381150431455	10.2487459475465	1.8372043006402
"ENSG00000111981"	5.91036502938522	1.52642313073676	6.07825041134799	1.34149266587619
"ENSG00000112333"	1.767449050663	8.13672568235996	1.86173397237991	8.39835183903109
"ENSG00000113100"	0.146414790810743	6.86753521357382	0.265617460872192	6.74091691496809
"ENSG00000115194"	2.70666495303039	9.87257552840757	2.9601701371578	9.91462014422628
"ENSG00000115353"	0.928821642058805	5.99305264682262	1.00821397990531	5.58562908496032
"ENSG00000116329"	3.02371199740623	8.85980133872361	2.69075956112751	8.63144314137781
"ENSG00000117069"	1.83987374761531	9.07483678601017	2.07293150836756	9.25763983127107
"ENSG00000118194"	0.651919994753944	8.32852158516684	0.409398609206459	8.59095150932739
"ENSG00000119125"	1.63986248184339	11.3205670266174	1.41891535307395	11.0844394236996
"ENSG00000122548"	5.07771999860287	0.539243702095041	5.01295340861562	0.435464623408995
"ENSG00000122585"	2.14904380067675	7.18542622110137	2.25930856529887	7.62667696546851
"ENSG00000123572"	9.68061049372485	0.465349660474057	9.13212962229382	0.860597574120443
"ENSG00000124134"	3.80383971229105	10.6270898803373	2.99410815960201	10.9215715386681
"ENSG00000125492"	8.58640915277503	0.53928565308097	8.98641303702678	0.259261589685782
"ENSG00000126733"	2.29859942059268	8.51260594408219	2.84324845265329	8.40165148259051
"ENSG00000126895"	5.36284106051628	1.57011959028905	5.61661996026388	1.72850804299536
"ENSG00000127152"	2.54057285341245	8.02867992957719	2.55907906124702	8.03180656142998
"ENSG00000129910"	9.11964179833033	0.962839765392373	9.80837844374548	1.20063147649589
"ENSG00000129951"	3.17353643237612	8.93292716935312	2.83629027547384	9.25640878216605
"ENSG00000130368"	0.328239550043022	7.84950566163902	0.418736138243091	7.82904847993311
"ENSG00000130768"	7.215222704777	2.11854560887434	6.70180580495645	2.29476888513317
"ENSG00000131187"	1.78373684223968	6.2627186936823	1.45354940054267	6.38360858213024
"ENSG00000132677"	6.6310258410732	0.284836019274524	7.32059591686097	0.540467774446888
