"x"	"y"	"key"	"desiredBulk"	"dimred"
"70"	-7.56737300371894	-0.013177262175084	2384	"hippocampus"	"UMAP"
"71"	-7.3124792239643	-0.0520203276753434	2385	"hippocampus"	"UMAP"
"72"	-7.52542659258613	0.0629653469443313	2386	"hippocampus"	"UMAP"
"73"	-7.39580174898872	-0.149197952377797	2392	"hippocampus"	"UMAP"
"74"	-7.5310809276081	0.0485766962885848	2454	"hippocampus"	"UMAP"
"75"	-7.28975888705024	0.186282871735095	2455	"hippocampus"	"UMAP"
"76"	-7.53161021685371	0.0597176984667769	2457	"hippocampus"	"UMAP"
"77"	-7.55599566912422	0.0495585636019698	2458	"hippocampus"	"UMAP"
"78"	-7.54963180041084	0.048087431561946	2460	"hippocampus"	"UMAP"
"79"	-7.55866214251289	0.020243181359767	2464	"hippocampus"	"UMAP"
"80"	-7.28870221590766	-0.0269765421032914	2524	"hippocampus"	"UMAP"
"81"	-7.34054776644477	0.156242205274104	2538	"hippocampus"	"UMAP"
"82"	-7.53643104052314	0.0317199066996566	2539	"hippocampus"	"UMAP"
"83"	-7.49176761126289	-0.00321935259103862	2541	"hippocampus"	"UMAP"
"84"	-7.32874127840766	-0.235551343786717	2543	"hippocampus"	"UMAP"
"85"	-7.69553348040351	0.0247424379706374	2546	"hippocampus"	"UMAP"
"86"	-7.57688304400215	-0.0686822100758561	2547	"hippocampus"	"UMAP"
"87"	-7.63587733721504	0.0382008687376967	2549	"hippocampus"	"UMAP"
"88"	-7.69406959032783	-0.00874774299860087	2551	"hippocampus"	"UMAP"
"89"	-7.32555648302802	0.195817588341235	2552	"hippocampus"	"UMAP"
"90"	-7.69426700091133	0.00586692847013387	2553	"hippocampus"	"UMAP"
"91"	-7.44416877245674	-0.140343742001058	2554	"hippocampus"	"UMAP"
"92"	-7.68526908373603	0.0556968883395186	2555	"hippocampus"	"UMAP"
"93"	-7.65574141955146	-0.049269871342183	2556	"hippocampus"	"UMAP"
"94"	-7.30396768069038	-0.227888213026524	2557	"hippocampus"	"UMAP"
"95"	-7.53910514330634	-0.147246824133397	2558	"hippocampus"	"UMAP"
"96"	-7.4784104487873	-0.162138120758534	2559	"hippocampus"	"UMAP"
"97"	-7.68656417345771	-0.0355596407532701	2560	"hippocampus"	"UMAP"
"98"	-7.55088397478828	-0.179059134352208	2561	"hippocampus"	"UMAP"
"99"	-7.37393495058784	-0.252243505346776	2562	"hippocampus"	"UMAP"
"100"	-7.36051198458442	-0.225911544191838	2563	"hippocampus"	"UMAP"
"101"	-7.59659263109931	-0.109263913261891	2564	"hippocampus"	"UMAP"
"102"	-7.26154157137641	-0.229032026159764	2565	"hippocampus"	"UMAP"
"103"	-7.54051562762031	-0.155274198877812	2566	"hippocampus"	"UMAP"
"104"	-7.42906543230781	-0.236237929689885	2567	"hippocampus"	"UMAP"
"105"	-7.35021897768745	-0.251376376974584	2568	"hippocampus"	"UMAP"
"106"	-7.38846084093818	-0.229793594706059	2569	"hippocampus"	"UMAP"
"107"	-7.36913510775337	-0.25570808492899	2570	"hippocampus"	"UMAP"
"108"	-7.47960063433418	-0.212359355318547	2571	"hippocampus"	"UMAP"
"109"	-7.38308068728217	-0.242888615953923	2573	"hippocampus"	"UMAP"
"110"	-7.5566689631916	0.0217676595568648	2591	"hippocampus"	"UMAP"
"111"	-7.67486735796699	-0.00149439417123881	2593	"hippocampus"	"UMAP"
"112"	-7.55559035753974	0.00180615342855367	2595	"hippocampus"	"UMAP"
"113"	-7.67328998064765	-0.0293627544522294	2597	"hippocampus"	"UMAP"
"114"	-7.66129752611884	-0.0216928883671769	2599	"hippocampus"	"UMAP"
"115"	-7.52232429003486	-0.158683197128774	2601	"hippocampus"	"UMAP"
"116"	-7.56516715502509	-0.149412558901311	2604	"hippocampus"	"UMAP"
"117"	-7.53416892504463	-0.159142093288899	2605	"hippocampus"	"UMAP"
"118"	-7.46965857958564	-0.218889103758336	2606	"hippocampus"	"UMAP"
"119"	-7.37283345675239	0.101474745643138	2637	"hippocampus"	"UMAP"
"120"	-7.49222251391181	-0.160508678781987	2641	"hippocampus"	"UMAP"
"121"	-7.52372809862861	0.0518819526553145	2642	"hippocampus"	"UMAP"
"122"	-7.68462726092109	8.11056017867018e-05	2643	"hippocampus"	"UMAP"
"123"	-7.52104445910224	-0.0644411905884751	2647	"hippocampus"	"UMAP"
"124"	-7.26191636538276	-0.19082372032404	2649	"hippocampus"	"UMAP"
"125"	-7.50856658434638	-0.155408637154103	2651	"hippocampus"	"UMAP"
"126"	-7.284260477779	-0.227335201132298	2653	"hippocampus"	"UMAP"
"127"	-7.39406367754707	-0.23019139610529	2655	"hippocampus"	"UMAP"
"128"	-7.38903972124824	-0.251725839006902	2657	"hippocampus"	"UMAP"
"129"	-7.57734843706855	-0.00214563452005473	2734	"hippocampus"	"UMAP"
"130"	-7.49968024706611	-0.157462017166615	2749	"hippocampus"	"UMAP"
"131"	-7.21394416308174	-0.225980625975133	2758	"hippocampus"	"UMAP"
"132"	-7.23801442599067	-0.208782182562352	2759	"hippocampus"	"UMAP"
"133"	-7.4654595515705	-0.213480161058904	2765	"hippocampus"	"UMAP"
"134"	-7.33995934939155	-0.23617683492899	2768	"hippocampus"	"UMAP"
"135"	-7.38856717562446	-0.217700348722936	2775	"hippocampus"	"UMAP"
"136"	-7.44230338549384	-0.232241855490209	2781	"hippocampus"	"UMAP"
"137"	-7.38963958239326	-0.258737908232213	2785	"hippocampus"	"UMAP"
"138"	-7.59735747790107	-0.0580753549218186	2964	"hippocampus"	"UMAP"
"139"	-7.54178401446113	-0.108488069403172	2971	"hippocampus"	"UMAP"
"140"	-7.6498725078083	-0.0291280313611039	2977	"hippocampus"	"UMAP"
"141"	-7.62164088701972	-0.0920201703190812	2985	"hippocampus"	"UMAP"
"142"	-7.46344348406562	-0.162164495813847	2990	"hippocampus"	"UMAP"
"143"	-7.53347178911933	-0.16124574981928	2993	"hippocampus"	"UMAP"
"144"	-7.49352904772529	-0.191038833487035	2997	"hippocampus"	"UMAP"
"145"	-7.35637971377143	-0.209551440107823	3124	"hippocampus"	"UMAP"
"146"	-7.52110835528144	-0.152107791531087	3156	"hippocampus"	"UMAP"
"147"	-7.4923846385456	-0.187053547728063	3176	"hippocampus"	"UMAP"
"148"	-7.44406863665351	-0.208682881224156	3181	"hippocampus"	"UMAP"
"149"	-7.40569945788154	-0.249544666635991	3199	"hippocampus"	"UMAP"
"150"	-7.37042304491767	-0.228212045061589	3270	"hippocampus"	"UMAP"
"151"	-7.40681716418037	-0.228638873922826	3279	"hippocampus"	"UMAP"
"152"	-7.54302665209541	-0.137352691519261	3293	"hippocampus"	"UMAP"
"153"	-7.49542304491767	-0.157603280174733	3303	"hippocampus"	"UMAP"
