"2"	"3"
"400"	1	0
"401"	2	9
"402"	2	24
"403"	1	0
"404"	0	0
"405"	4	0
"406"	4	0
"407"	1	0
"408"	0	19
"409"	10	17
"410"	2	9
"411"	0	16
"412"	0	0
"413"	11	10
"414"	7	4
"415"	9	8
"416"	4	11
"417"	7	4
"418"	0	16
"419"	0	19
"420"	0	0
"421"	0	0
"422"	0	0
"423"	0	0
"424"	9	8
"425"	0	16
"426"	0	0
"427"	0	0
"428"	12	12
"429"	1	0
"430"	2	0
"431"	1	0
"432"	0	0
"433"	1	6
"434"	0	0
"435"	1	0
"436"	2	0
"437"	7	4
"438"	0	0
"439"	8	7
"440"	0	0
"441"	0	0
"442"	0	0
"443"	0	0
"444"	0	0
"445"	8	7
"446"	1	0
"447"	3	5
"448"	0	0
"449"	1	0
"450"	1	2
"451"	1	0
"452"	0	0
"453"	0	0
"454"	0	0
"455"	10	13
"456"	0	0
"457"	1	0
"458"	0	0
"459"	1	0
"460"	7	4
"461"	0	0
"462"	7	4
"463"	10	13
"464"	0	16
"465"	0	0
"466"	4	0
"467"	3	5
"468"	7	4
"469"	0	0
"470"	0	0
"471"	2	9
"472"	1	0
"473"	6	3
"474"	0	0
"475"	1	0
"476"	3	5
"477"	0	0
"478"	1	0
"479"	10	17
"480"	0	0
"481"	11	10
"482"	3	25
"483"	0	0
"484"	7	4
"485"	0	0
"486"	3	5
"487"	3	5
"488"	0	0
"489"	10	13
"490"	13	15
"491"	10	17
"492"	6	3
"493"	0	0
"494"	0	14
"495"	2	9
"496"	0	0
"497"	2	0
"498"	1	2
"499"	12	12
"500"	0	22
"501"	6	3
"502"	0	0
"503"	9	8
"504"	0	27
"505"	0	0
"506"	9	8
"507"	10	13
"508"	4	0
"509"	0	0
"510"	0	0
"511"	4	0
"512"	7	4
"513"	0	0
"514"	1	2
"515"	2	9
"516"	0	22
"517"	1	6
"518"	10	13
"519"	1	2
"520"	0	0
"521"	8	7
"522"	1	6
"523"	7	4
"524"	13	15
"525"	0	0
"526"	0	0
"527"	2	9
"528"	0	0
"529"	2	9
"530"	0	0
"531"	1	2
"532"	8	7
"533"	13	15
"534"	2	21
"535"	1	0
"536"	0	23
"537"	10	17
"538"	0	20
"539"	0	0
"540"	0	0
"541"	1	0
"542"	0	0
"543"	0	0
"544"	0	0
"545"	0	0
"546"	7	4
"547"	1	0
"548"	7	4
"549"	5	1
"550"	0	0
"551"	9	8
"552"	2	9
"553"	2	0
"554"	7	4
"555"	2	0
"556"	0	20
"557"	1	0
"558"	0	0
"559"	0	0
"560"	1	0
"561"	9	8
"562"	5	1
"563"	0	0
"564"	0	23
"565"	12	12
"566"	2	0
"567"	0	0
"568"	3	0
"569"	0	0
"570"	0	0
"571"	1	0
"572"	1	0
"573"	0	0
"574"	0	0
"575"	1	0
"576"	1	2
"577"	7	4
"578"	1	0
"579"	2	24
"580"	1	2
"581"	6	3
"582"	0	0
"583"	0	0
"584"	0	0
"585"	0	14
"586"	8	7
"587"	10	13
"588"	8	7
"589"	0	0
"590"	0	0
"591"	2	0
"592"	0	0
"593"	0	0
"594"	1	0
"595"	1	6
"596"	2	0
"597"	5	1
"598"	5	1
"599"	1	0
"600"	7	4
"601"	0	0
"602"	1	6
"603"	2	9
"604"	9	8
"605"	2	9
"606"	0	0
"607"	0	0
"608"	0	0
"609"	3	0
"610"	12	12
"611"	0	0
"612"	1	0
"613"	0	16
"614"	6	3
"615"	0	0
"616"	0	0
"617"	0	0
"618"	0	0
"619"	4	11
"620"	1	0
"621"	4	18
"622"	1	0
"623"	0	16
"624"	0	0
"625"	0	0
"626"	0	0
"627"	6	3
"628"	0	0
"629"	0	0
"630"	4	0
"631"	0	0
"632"	0	0
"633"	5	1
"634"	0	0
"635"	3	5
"636"	3	25
"637"	1	6
"638"	5	1
"639"	4	11
"640"	11	10
"641"	0	0
"642"	0	0
"643"	0	0
"644"	0	0
"645"	10	17
"646"	2	9
"647"	4	0
"648"	4	11
"649"	0	0
"650"	0	16
"651"	0	0
"652"	10	13
"653"	3	5
"654"	0	0
"655"	2	21
"656"	0	19
"657"	1	0
"658"	0	0
"659"	7	4
"660"	1	0
"661"	1	0
"662"	3	5
"663"	1	0
"664"	11	10
"665"	1	0
"666"	9	8
"667"	0	0
"668"	10	13
"669"	0	0
"670"	1	6
